Presa;Demarcación;Cauce;Fase;Titular;Provincia
ALMOCHUEL;EBRO;ARROYO DE LA FILADA;Explotación;ESTADO;Zaragoza
ALMODOVAR;GUADALETE Y BARBATE;RÍO ALMODÓVAR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
ALMODOVAR;GUADALETE Y BARBATE;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE BUGONES O DE LOS BODEGONES;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
ALMODOVAR;GUADALETE Y BARBATE;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE BUGONES O DE LOS BODEGONES;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
ALMOGUERA;TAJO;RÍO TAJO;Explotación;NATURGY GENERACIÓN, S.L.U.;Guadalajara
ALMURADIEL;GUADALQUIVIR;RÍO DE CABEZAMALO;Explotación;DIPUTACION DE CIUDAD REAL;Ciudad Real
ALOS;EBRO;RIU SEGRE;Explotación;MEDITERRANEA ELECTRICIDAD;Lleida
ALPOTREL;TAJO;ARROYO DE ALPOTREL;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ALQUEVA;;RIO GUADIANA;Explotación;EDIA (EMPRESA DE DESENVOLVIMIENTO DAS INFRAESTRUCTURAS DO ALQUEVA);
ALSA TORINA;CANTABRICO OCCIDENTAL;ARROYO DE MOJÓN;Explotación;ELECTRA DE VIESGO II, S.A.U.;Cantabria
ALSA TORINA;CANTABRICO OCCIDENTAL;RÍO TORINA O TORINO;Explotación;ELECTRA DE VIESGO II, S.A.U.;Cantabria
ALTAREJOS;GUADALQUIVIR;ARROYO DE GUADILOCA;Explotación;CARLOS MARCH DELGADO;Sevilla
ALTET 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
ALTET 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
AMADORIO;JUCAR;RIU AMADORIO;Explotación;ESTADO;Alicante/Alacant
AMALAHUIGUE;LA GOMERA;BARRANCO DE LAS ROSAS;Explotación;DESCONOCIDO;Santa Cruz de Tenerife
AMATISTEROS I;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
AMATISTEROS II;CUENCAS MEDITERRANEAS ANDALUZAS;RAMBLA DE AMATISTERO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
AMATISTEROS III;CUENCAS MEDITERRANEAS ANDALUZAS;RAMBLA DEL PALO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
AMITGES DE RATERA;EBRO;RIU DE RATERA;Explotación;ENDESA GENERACION S.A.;Lleida
AMITGES DE RATERA;EBRO;;Explotación;ENDESA GENERACION S.A.;Lleida
AMOREBIETA;CANTABRICO ORIENTAL;IBAIZABAL IBAIA;Explotación;IZAR;Bizkaia
AÑARBE;CANTABRICO ORIENTAL;AÑARBE IBAIA O ENOBIETAKU ERREKA;Explotación;MANCOMUNIDAD DE AGUAS DEL AÑARBE;Gipuzkoa
AÑARBE;CANTABRICO ORIENTAL;AÑARBE IBAIA O ENOBIETAKU ERREKA;Explotación;MANCOMUNIDAD DE AGUAS DEL AÑARBE;Gipuzkoa
ANARRETA;EBRO;;Explotación;AUTONOMIA PAIS VASCO;Araba/Álava
AÑASTRO;EBRO;;Explotación;C.R. DE PADURCA;Burgos
ANCHURICAS;SEGURA;RIO SEGURA;Explotación;IBERDROLA GENERACION S.A.;Jaén
ANDEVALO;GUADIANA;RIVERA DE MALAGON;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
ANGELES, LOS;DUERO;RÍO MOROS;Explotación;COMPAÑÍA INTERNACIONAL DE BIENES RAICES S.A.;Segovia
AÑIBARRI, ARROYO;CANTABRICO ORIENTAL;ANIBARRI ERREKA;Explotación;GOBIERNO VASCO;Bizkaia
ANTOÑAN DEL VALLE;DUERO;ARROYO DE SAN VICENTE O DE BARBADIEL;Explotación;COMUNIDAD DE REGANTES DE LA PRESA DE SAN VICENTE DE OBECURI;León
ANTONCOJO;LA GOMERA;BARRANCO DE LOS COCOS;Explotación;A. RODRIGUEZ LOPEZ;Santa Cruz de Tenerife
ARACENA;GUADALQUIVIR;RIVERA DE HUELVA;Explotación;ESTADO;Huelva
ARAGON;EBRO;RÍO ARAGÓN;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
ARAGON, CANAL IMPERIAL DE;EBRO;;Explotación;ACUAEBRO;Zaragoza
ARANA;EBRO;;Explotación;COMUNIDAD DE REGANTES RIO ROJO-BERANTEVILLA;Burgos
ARANCELAY;CANTABRICO ORIENTAL;URRETA ERREKA;Explotación;AYUNTAMIENTO DE GALDAKAO;Bizkaia
ARAUZO DE SALCE;DUERO;ARROYO SINOVAS;Explotación;COMUNIDAD DE REGANTES ARANZUELO;Burgos
ARAVALLE;DUERO;RÍO ARAVALLE;Explotación;;Ávila
ARAYA DE ARRIBA;TAJO;ARROYO DE ANCIANES;Explotación;CAMPOS DE ARAYA, S.A.;Cáceres
ARAYA DE ARRIBA;TAJO;ARROYO DE ANCIANES;Explotación;CAMPOS DE ARAYA, S.A.;Cáceres
ARBON;CANTABRICO OCCIDENTAL;RÍO NAVIA;Explotación;ELECTRA DE VIESGO II, S.A.U.;Asturias
ARCE DE ABAJO;TAJO;ARROYO JUMADIEL;Explotación;MANUEL REMEDIOS MONTES;Cáceres
ARCE DE ARRIBA;TAJO;ARROYO JUMADIEL;Explotación;BEATRIZ RUEDA MUÑOZ DE SAN PEDRO;Cáceres
ARCENIEGA;CANTABRICO ORIENTAL;ARTZINIEGA IBAIA;Explotación;CONSORCIO DE AGUAS DE AYALA;Burgos
ARCOCHA;CANTABRICO ORIENTAL;ARROYO CHARROTA;Explotación;AYUNTAMIENTO DE ZARATAMO;Bizkaia
ARCOS;GUADALETE Y BARBATE;RÍO GUADALETE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
ARCOS;GUADALETE Y BARBATE;RÍO GUADALETE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
ARDISA;EBRO;RÍO GÁLLEGO;Explotación;ESTADO;Zaragoza
ARENALEJO;TAJO;ARROYO DE LA GARGANTA;Explotación;GARCIA, HERNANDEZ Y SANCHEZ C.B.;Cáceres
ARENALES DE MAZA;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DEL CUERNO;Explotación;ARENALES DE MAZA, S.A.;Sevilla
ARENAS DE SAN PEDRO;TAJO;RÍO DE RIOCUEVAS;Explotación;AYUNTAMIENTO DE ARENAS DE SAN PEDRO;Ávila
ARENOS;JUCAR;RIU MIJARES;Explotación;ESTADO;Castellón/Castelló
ARENOS;JUCAR;BARRANC DE JAU;Explotación;ESTADO;Castellón/Castelló
ARENOSO;GUADALQUIVIR;RÍO ARENOSO;Explotación;Aguas de las Cuencas de España, S.A.;Córdoba
ARGOS;SEGURA;RIO ARGOS;Explotación;ESTADO;Murcia
ARGUIS;EBRO;RÍO ISUELA;Explotación;COMUNIDAD DE REGANTES DE PANTANO ARGUIS;Huesca
ARIÑEZ;GRAN CANARIA;BARRANCO DEL PIQUILLO;Explotación;AYUNTAMIENTO DE LAS PALMAS;Palmas, Las
ARLANZON;DUERO;RÍO ARLANZÓN;Explotación;ESTADO;Burgos
ARMIÑAN;TAJO;RÍO BAÑOS;Explotación;COMUNIDAD DE REGANTES DE ALDEANUEVA DEL CAMINO;Cáceres
AROCHE;GUADIANA;ARROYO DE VALDESOTELLA;Explotación;AYUNTAMIENTO DE AROCHE;Huelva
ARQUILLO DE SAN BLAS;JUCAR;RIO TURIA O GUADALAVIAR;Explotación;ESTADO;Teruel
ARRAMBIDE;CANTABRICO ORIENTAL;RÍO URUMEA;Explotación;IBERDROLA RENOVABLES ENERGÍA S.A.;Navarra
ARRIARAN;CANTABRICO ORIENTAL;ARRIARAN ERREKA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Gipuzkoa
ARRIEL ALTO;EBRO;BARRANCO DE ARRIEL;Explotación;ENERGIAS DE ARAGON II S.L.;Huesca
ARRIEL ALTO;EBRO;BARRANCO DE ARRIEL;Explotación;ENERGIAS DE ARAGON II S.L.;Huesca
ARRIETA;EBRO;RÍO ARRIETA;Explotación;COMUNIDAD DE REGANTES DE BEROKIA;Burgos
ARRIGORRIAGA;CANTABRICO ORIENTAL;GOIKIRI ERREKA;Explotación;AYUNTAMIENTO DE ARRIGORRIAGA;Bizkaia
ARROCAMPO;TAJO;RÍO ARROCAMPO;Explotación;CENTRALES NUCLEARES ALMARAZ-TRILLO, A.I.E.;Cáceres
ARROYO CACHAN;GUADIANA;ARROYO CACHAN;Explotación;PARTICULAR;Cáceres
ARROYOCUNCOS;GUADIANA;ARROYO DE CUNCOS;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
ARROYO DE LA LUZ;TAJO;RÍO PANTONES;Explotación;ESTADO;Cáceres
ARROYO DE LA PUEBLA;TAJO;ARROYO DE LA PUEBLA;Explotación;RETRANS MADRID, S.L.;Madrid
ARROYO DE LA VENTA;TAJO;RÍO DE LA VENTA;Explotación;AYUNTAMIENTO DE CERCEDILLA;Madrid
ARROYO DEL ESPINO;DUERO;ARROYO DEL ESPINO;Explotación;AYUNTAMIENTO DE HOYOS DEL ESPINO;Ávila
ARROYO DEL FRESNILLO;GUADALETE Y BARBATE;ARROYO DEL FRESNILLO;Explotación;MANCOMUNIDAD DE MUNICIPIOS DE LA SIERRA DE CADIZ;Cádiz
ARROYO DEL FRESNILLO;GUADALETE Y BARBATE;ARROYO DEL ESPINAR;Explotación;MANCOMUNIDAD DE MUNICIPIOS DE LA SIERRA DE CADIZ;Cádiz
ARROYO LA MORENA;GUADIANA;ARROYO DE CAÑADA MORENA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Córdoba
ARROYOMOLINOS;GUADIANA;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE LAS VAQUERIZAS;Explotación;;Cáceres
ARROYOS, LOS;TAJO;ARROYO LADRÓN;Explotación;MARIA DEL CARMEN BOTANA PEREZ Y APODERADOS DE LA JUNTA DE COMPENSACION;Madrid
ARTA;ISLAS BALEARES;;Explotación;SEIASA;Balears, Illes
ARTIBA;CANTABRICO ORIENTAL;ARTIBA ERREKA;Explotación;AYUNTAMIENTO DE BARACALDO;Bizkaia
ARTIKUTZA;CANTABRICO ORIENTAL;AÑARBE IBAIA O ENOBIETAKU ERREKA;Explotación;AYUNTAMIENTO DE SAN SEBASTIAN;Navarra
ARTIÑUELO;TAJO;ARROYO DEL ARTIÑUELO;Explotación;AYUNTAMIENTO DE RASCAFRIA;Madrid
ARURE Santa Cruz de Tenerife;LA GOMERA;BARRANCO DE ARURE;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;
ATALAYA;TAJO;ARROYO DE LA ATALAYA;Explotación;AYUNTAMIENTO DE VILLAMIEL;Cáceres
ATALAYA DEL CAMPILLO, LA;TINTO, ODIEL Y PIEDRAS;ARROYO DE LA ATALAYA;Explotación;LA ATALAYA DEL CAMPILLO S.L.;Huelva
ATALAYA, LA;SEGURA;;Explotación;SEIASA;Murcia
ATANCE, EL;TAJO;RÍO SALADO;Explotación;ESTADO;Guadalajara
ATAZAR, EL;TAJO;RÍO LOZOYA;Explotación;CANAL DE ISABEL II;Madrid
AULENCIA;TAJO;ARROYO DEL BATÁN O RÍO AULENCIA;Explotación;CONFEDERACION HIDROGRAFICA DEL TAJO;Madrid
AVEFRIAS 1;GUADIANA;ARROYO DE LOS MESEGAREJOS;Explotación;S.I. KOPLOCOR S.A.;Ciudad Real
AVEFRIAS 2;GUADIANA;ARROYO DE LOS MESEGAREJOS;Explotación;S.I. KOPLOCOR S.A.;Ciudad Real
AVEFRIAS 3;GUADIANA;ARROYO DE LOS MESEGAREJOS;Explotación;S.I. KOPLOCOR S.A.;Ciudad Real
AVELLANAR, EL;GUADIANA;;Explotación;;Ciudad Real
AYAGAURES;GRAN CANARIA;BARRANCO DE LA DATA;Explotación;CABILDO DE GRAN CANARIA;Palmas, Las
AYALA;EBRO;ARROYO SERBIL;Explotación;AUTONOMIA PAIS VASCO;Araba/Álava
AYOO DE VIDRIALES;DUERO;RÍO FUENTE MILDEDOS;Explotación;COMUNIDAD DE REGANTES AYOO DE VIDRIALES;Zamora
AYUELA;TAJO;RÍO AYUELA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
AZCARZACOA;EBRO;DEHESA ERREKA O SALSIBARRI SAKANA;Explotación;COMUNIDAD DE REGANTES DE CRUCIZABALA;Araba/Álava
AZLOR;EBRO;BARRANCO DE LA FONDOTA;Explotación;AYUNTAMIENTO DE AZLOR;Huesca
AZUAGA;GUADALQUIVIR;RÍO SOTILLO;Explotación;AYUNTAMIENTO DE AZUAGA;Badajoz
AZULES;EBRO;RÍO CALDARÉS;Explotación;ENDESA GENERACION S.A.;Huesca
AZUTAN;TAJO;RÍO TAJO;Explotación;IBERDROLA GENERACION S.A.;Toledo
BACHIMAÑA ALTO;EBRO;RÍO CALDARÉS;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BACHIMAÑA INFERIOR;EBRO;RÍO CALDARÉS;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BAELLS, LA;CUENCAS INTERNAS DE CATALUÑA;EL LLOBREGAT;Explotación;GENERALITAT DE CATALUÑA;Barcelona
BAEZA;GUADALQUIVIR;;Explotación;EXPLOTACIONES AGRÍCOLAS EL CORZO;Jaén
BAJO ALMANZORA;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Almería
BAJO BALIERA;EBRO;RÍO BALIERA;Explotación;ENDESA GENERACION S.A.;Huesca
BAJO CARRION;DUERO;RÍO CARRIÓN;Explotación;ESTADO;Palencia
BAJO EBRO ARAGONES;EBRO;;Explotación;ACUAEBRO;Zaragoza
BAJO EBRO ARAGONES;EBRO;;Explotación;ACUAEBRO;Zaragoza
BALAGUERAS;JUCAR;RÍO PALOMAREJAS;Explotación;ESTADO;Teruel
BALAGUER PARTIDOR;EBRO;RIU SEGRE;Explotación;ENDESA GENERACION S.A.;Lleida
BALDIA, LA;GUADALQUIVIR;;Explotación;AGRICOLA LA BALDIA, S.A.;Sevilla
BALLESTERILLAS, LAS;GUADIANA;;Explotación;;Ciudad Real
BALLESTEROS;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO SALADO - SEVILLA I;Explotación;ENRIQUE CORTINES TORRES;Sevilla
BALSILLA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE EL LLANO;Valencia/Valéncia
BANABIL;CANTABRICO ORIENTAL;MARIN ERREKA;Explotación;ACCIONA ENERGÍA, S.A.;Navarra
BAÑOS DE MONTEMAYOR;TAJO;RÍO BAÑOS;Explotación;ESTADO;Cáceres
BAO;MIÑO-SIL;RÍO BIBEI;Explotación;IBERDROLA GENERACION S.A.;Ourense
BARANETAS;EBRO;BARRANCO DE URDICETO;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BARASONA;EBRO;RÍO ÉSERA;Explotación;ESTADO;Huesca
