,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
16422,2017-07-01,CATALUNA,18.464,24.025,3.406,5.0,406.608,24.29
16425,2017-07-01,COMUNITAT VALENCIANA,19.866,24.739,3.833,5.0,531.718,49.9
16426,2017-07-01,EXTREMADURA,20.934,29.025,2.94,5.0,12511.014,849.0
16433,2017-07-01,REGION DE MURCIA,21.27,26.59,3.55,5.0,250.22,31.4
16434,2017-07-02,ANDALUCIA,23.426,30.974,3.506,5.0,14179.041,1000.02
16439,2017-07-02,CASTILLA-LA MANCHA,20.289,29.849,2.201,5.0,4526.642,349.4
16440,2017-07-02,CATALUNA,20.644,27.759,3.19,5.0,432.694,24.29
16443,2017-07-02,COMUNITAT VALENCIANA,20.041,26.465,3.111,5.0,565.83,49.9
16444,2017-07-02,EXTREMADURA,24.517,33.808,2.912,5.0,13313.654,849.0
16451,2017-07-02,REGION DE MURCIA,21.82,28.22,2.611,5.0,266.273,31.4
16452,2017-07-03,ANDALUCIA,25.169,32.582,3.875,5.0,14093.86,1000.02
16457,2017-07-03,CASTILLA-LA MANCHA,23.582,32.81,2.597,5.0,4499.448,349.4
16458,2017-07-03,CATALUNA,21.698,28.896,2.817,5.0,430.094,24.29
16461,2017-07-03,COMUNITAT VALENCIANA,21.9,28.558,2.742,5.0,562.431,49.9
16462,2017-07-03,EXTREMADURA,27.858,37.35,2.608,5.0,13233.671,849.0
16469,2017-07-03,REGION DE MURCIA,23.17,29.66,3.344,5.0,264.673,31.4
16470,2017-07-04,ANDALUCIA,25.492,32.944,3.664,5.0,13650.733,1000.02
16475,2017-07-04,CASTILLA-LA MANCHA,24.852,34.023,3.025,5.0,4357.981,349.4
16476,2017-07-04,CATALUNA,23.072,30.024,2.875,5.0,416.572,24.29
16479,2017-07-04,COMUNITAT VALENCIANA,22.569,28.869,3.038,5.0,544.748,49.9
16480,2017-07-04,EXTREMADURA,28.75,37.075,3.092,5.0,12817.59,849.0
16487,2017-07-04,REGION DE MURCIA,23.42,29.91,3.6,5.0,256.352,31.4
16488,2017-07-05,ANDALUCIA,25.032,31.24,3.172,4.0,10637.28,1000.02
16493,2017-07-05,CASTILLA-LA MANCHA,25.777,34.432,3.533,5.0,3395.939,349.4
16494,2017-07-05,CATALUNA,23.086,30.211,2.542,5.0,324.612,24.29
16497,2017-07-05,COMUNITAT VALENCIANA,22.864,28.627,2.82,5.0,424.492,49.9
16498,2017-07-05,EXTREMADURA,26.375,32.916,2.966,5.0,9988.056,849.0
16505,2017-07-05,REGION DE MURCIA,24.433,30.878,3.433,5.0,199.761,31.4
16506,2017-07-06,ANDALUCIA,23.55,27.782,3.521,3.0,2970.484,1000.02
16511,2017-07-06,CASTILLA-LA MANCHA,23.508,28.26,3.347,2.0,948.324,349.4
16512,2017-07-06,CATALUNA,24.86,31.4,2.127,4.0,90.649,24.29
16515,2017-07-06,COMUNITAT VALENCIANA,25.614,30.415,2.686,3.0,118.54,49.9
16516,2017-07-06,EXTREMADURA,23.05,28.025,3.466,4.0,2789.187,849.0
16523,2017-07-06,REGION DE MURCIA,27.33,32.18,3.678,3.0,55.784,31.4
16524,2017-07-07,ANDALUCIA,23.213,28.602,3.422,5.0,6964.276,1000.02
16529,2017-07-07,CASTILLA-LA MANCHA,21.805,27.245,3.873,2.0,2223.337,349.4
16530,2017-07-07,CATALUNA,25.711,32.403,2.408,4.0,212.525,24.29
16533,2017-07-07,COMUNITAT VALENCIANA,24.387,28.182,3.131,2.0,277.917,49.9
16534,2017-07-07,EXTREMADURA,22.254,29.11,2.69,4.0,6539.226,849.0
16541,2017-07-07,REGION DE MURCIA,25.22,29.08,3.089,2.0,130.785,31.4
16542,2017-07-08,ANDALUCIA,23.155,29.31,3.411,5.0,8761.167,1000.02
16547,2017-07-08,CASTILLA-LA MANCHA,21.17,27.025,2.428,4.0,2796.992,349.4
16548,2017-07-08,CATALUNA,23.973,29.206,3.1,3.0,267.36,24.29
16551,2017-07-08,COMUNITAT VALENCIANA,25.556,31.419,3.15,5.0,349.624,49.9
16552,2017-07-08,EXTREMADURA,23.617,31.342,2.708,5.0,8226.448,849.0
16559,2017-07-08,REGION DE MURCIA,25.69,31.89,2.956,5.0,164.529,31.4
16560,2017-07-09,ANDALUCIA,25.006,31.848,2.65,5.0,10279.078,1000.02
16565,2017-07-09,CASTILLA-LA MANCHA,23.793,31.91,2.04,5.0,3281.584,349.4
16566,2017-07-09,CATALUNA,23.086,28.855,2.575,5.0,313.681,24.29
16569,2017-07-09,COMUNITAT VALENCIANA,25.194,32.139,2.847,5.0,410.198,49.9
16570,2017-07-09,EXTREMADURA,25.316,33.334,3.141,5.0,9651.716,849.0
16577,2017-07-09,REGION DE MURCIA,27.411,34.41,2.9,5.0,193.034,31.4
16578,2017-07-10,ANDALUCIA,25.989,33.484,2.719,5.0,12696.956,1000.02
16583,2017-07-10,CASTILLA-LA MANCHA,25.792,33.772,2.58,5.0,4053.488,349.4
16584,2017-07-10,CATALUNA,23.898,29.169,2.184,4.0,387.466,24.29
16587,2017-07-10,COMUNITAT VALENCIANA,25.531,31.552,2.82,5.0,506.686,49.9
16588,2017-07-10,EXTREMADURA,24.242,33.266,2.316,5.0,11922.025,849.0
16595,2017-07-10,REGION DE MURCIA,26.96,33.49,2.833,5.0,238.44,31.4
16596,2017-07-11,ANDALUCIA,27.569,35.659,2.448,5.0,13245.958,1000.02
16601,2017-07-11,CASTILLA-LA MANCHA,25.963,35.383,2.25,5.0,4228.757,349.4
16602,2017-07-11,CATALUNA,24.326,29.701,2.35,5.0,404.219,24.29
16605,2017-07-11,COMUNITAT VALENCIANA,25.247,31.05,2.701,5.0,528.595,49.9
16606,2017-07-11,EXTREMADURA,27.25,37.35,2.017,5.0,12437.52,849.0
16613,2017-07-11,REGION DE MURCIA,26.78,33.55,2.678,5.0,248.75,31.4
16614,2017-07-12,ANDALUCIA,30.282,38.74,2.316,5.0,11679.914,1000.02
16619,2017-07-12,CASTILLA-LA MANCHA,27.81,38.382,2.28,5.0,3728.799,349.4
16620,2017-07-12,CATALUNA,25.49,31.732,2.454,5.0,356.429,24.29
16623,2017-07-12,COMUNITAT VALENCIANA,26.675,33.358,2.62,5.0,466.1,49.9
16624,2017-07-12,EXTREMADURA,29.96,41.072,2.148,5.0,10967.056,849.0
16631,2017-07-12,REGION DE MURCIA,28.1,35.24,2.256,5.0,219.341,31.4
16632,2017-07-13,ANDALUCIA,31.233,39.097,2.91,5.0,9747.966,1000.02
16637,2017-07-13,CASTILLA-LA MANCHA,29.933,40.44,2.825,5.0,3112.027,349.4
16638,2017-07-13,CATALUNA,25.394,30.945,2.956,5.0,297.473,24.29
16641,2017-07-13,COMUNITAT VALENCIANA,26.82,32.319,2.675,5.0,389.003,49.9
16642,2017-07-13,EXTREMADURA,32.615,43.552,2.885,5.0,9153.02,849.0
16649,2017-07-13,REGION DE MURCIA,29.01,34.63,2.778,5.0,183.06,31.4
16650,2017-07-14,ANDALUCIA,30.016,37.899,2.962,5.0,10650.532,1000.02
16655,2017-07-14,CASTILLA-LA MANCHA,30.222,39.402,2.785,5.0,3400.17,349.4
16656,2017-07-14,CATALUNA,25.015,29.8,2.942,5.0,325.016,24.29
16659,2017-07-14,COMUNITAT VALENCIANA,26.486,30.885,3.05,5.0,425.021,49.9
16660,2017-07-14,EXTREMADURA,32.524,42.308,2.923,5.0,10000.5,849.0
16667,2017-07-14,REGION DE MURCIA,28.0,32.8,3.356,5.0,200.01,31.4
16668,2017-07-15,ANDALUCIA,28.538,35.298,3.313,5.0,11001.838,1000.02
16673,2017-07-15,CASTILLA-LA MANCHA,28.307,36.842,2.83,5.0,3512.324,349.4
16674,2017-07-15,CATALUNA,25.063,31.292,2.919,5.0,335.737,24.29
16677,2017-07-15,COMUNITAT VALENCIANA,25.263,30.193,2.856,5.0,439.04,49.9
16678,2017-07-15,EXTREMADURA,29.6,40.168,2.598,5.0,10330.364,849.0
16685,2017-07-15,REGION DE MURCIA,27.011,31.922,3.2,5.0,206.607,31.4
16686,2017-07-16,ANDALUCIA,28.275,35.541,3.171,5.0,11971.836,1000.02
16691,2017-07-16,CASTILLA-LA MANCHA,27.768,36.555,2.35,5.0,3821.995,349.4
16692,2017-07-16,CATALUNA,25.261,31.999,2.525,5.0,365.338,24.29
16695,2017-07-16,COMUNITAT VALENCIANA,25.812,32.021,2.8,5.0,477.749,49.9
16696,2017-07-16,EXTREMADURA,30.078,40.132,2.47,5.0,11241.161,849.0
16703,2017-07-16,REGION DE MURCIA,26.544,32.789,2.925,5.0,224.823,31.4
16704,2017-07-17,ANDALUCIA,28.425,35.323,3.322,5.0,5897.005,1000.02
16709,2017-07-17,CASTILLA-LA MANCHA,27.705,35.577,3.125,5.0,1882.612,349.4
16710,2017-07-17,CATALUNA,24.928,30.839,2.833,5.0,179.956,24.29
16713,2017-07-17,COMUNITAT VALENCIANA,24.704,29.992,2.972,5.0,235.326,49.9
16714,2017-07-17,EXTREMADURA,29.128,38.428,2.096,5.0,5537.094,849.0
16721,2017-07-17,REGION DE MURCIA,26.244,32.789,3.262,5.0,110.742,31.4
16722,2017-07-18,ANDALUCIA,28.792,35.525,3.584,5.0,6381.719,1000.02
16727,2017-07-18,CASTILLA-LA MANCHA,28.45,36.32,3.92,5.0,2037.356,349.4
16728,2017-07-18,CATALUNA,25.183,31.276,3.265,5.0,194.747,24.29
16731,2017-07-18,COMUNITAT VALENCIANA,25.686,30.656,2.856,5.0,254.67,49.9
16732,2017-07-18,EXTREMADURA,28.155,36.506,3.376,5.0,5992.225,849.0
16739,2017-07-18,REGION DE MURCIA,27.833,33.644,3.375,5.0,119.844,31.4
16740,2017-07-19,ANDALUCIA,26.718,32.388,3.598,5.0,10364.081,1000.02
16745,2017-07-19,CASTILLA-LA MANCHA,26.79,33.27,3.638,5.0,3308.721,349.4
16746,2017-07-19,CATALUNA,25.611,31.126,3.112,4.0,316.275,24.29
16749,2017-07-19,COMUNITAT VALENCIANA,25.827,30.513,2.958,5.0,413.59,49.9
16750,2017-07-19,EXTREMADURA,24.769,32.011,3.786,5.0,9731.531,849.0
16757,2017-07-19,REGION DE MURCIA,27.878,33.667,3.025,5.0,194.631,31.4
16758,2017-07-20,ANDALUCIA,25.347,31.563,3.381,5.0,12362.901,1000.02
16763,2017-07-20,CASTILLA-LA MANCHA,25.075,32.648,2.4,5.0,3946.842,349.4
16764,2017-07-20,CATALUNA,24.341,29.102,3.238,4.0,377.272,24.29
16767,2017-07-20,COMUNITAT VALENCIANA,25.179,30.075,3.061,5.0,493.355,49.9
16768,2017-07-20,EXTREMADURA,23.83,31.798,2.982,5.0,11608.358,849.0
16775,2017-07-20,REGION DE MURCIA,27.589,34.011,3.388,5.0,232.167,31.4
16776,2017-07-21,ANDALUCIA,23.649,29.918,3.434,5.0,12560.553,1000.02
16781,2017-07-21,CASTILLA-LA MANCHA,25.123,31.695,3.055,5.0,4009.942,349.4
16782,2017-07-21,CATALUNA,23.252,27.933,1.84,3.0,383.303,24.29
16785,2017-07-21,COMUNITAT VALENCIANA,25.96,29.785,2.836,4.0,501.243,49.9
16786,2017-07-21,EXTREMADURA,22.978,31.756,2.992,5.0,11793.946,849.0
16793,2017-07-21,REGION DE MURCIA,27.522,32.6,2.338,5.0,235.879,31.4
16794,2017-07-22,ANDALUCIA,24.322,32.25,2.364,5.0,13019.447,1000.02
16799,2017-07-22,CASTILLA-LA MANCHA,24.913,33.408,2.19,5.0,4156.443,349.4
16800,2017-07-22,CATALUNA,24.189,29.95,2.627,5.0,397.307,24.29
16803,2017-07-22,COMUNITAT VALENCIANA,25.605,30.542,2.558,5.0,519.555,49.9
16804,2017-07-22,EXTREMADURA,24.658,33.542,2.583,5.0,12224.832,849.0
16811,2017-07-22,REGION DE MURCIA,26.433,32.589,2.8,5.0,244.497,31.4
16812,2017-07-23,ANDALUCIA,26.297,33.804,2.623,5.0,12976.369,1000.02
16817,2017-07-23,CASTILLA-LA MANCHA,25.577,34.473,2.472,5.0,4142.691,349.4
16818,2017-07-23,CATALUNA,23.161,29.003,2.529,3.0,395.992,24.29
16821,2017-07-23,COMUNITAT VALENCIANA,25.315,30.232,2.497,4.0,517.836,49.9
16822,2017-07-23,EXTREMADURA,26.392,35.75,2.834,5.0,12184.384,849.0
16829,2017-07-23,REGION DE MURCIA,27.656,33.456,2.629,5.0,243.688,31.4
16830,2017-07-24,ANDALUCIA,27.02,34.951,2.814,5.0,12990.235,1000.02
16835,2017-07-24,CASTILLA-LA MANCHA,25.397,33.202,2.498,5.0,4147.117,349.4
16836,2017-07-24,CATALUNA,23.097,29.621,3.483,5.0,396.416,24.29
16839,2017-07-24,COMUNITAT VALENCIANA,25.432,30.585,2.694,5.0,518.39,49.9
16840,2017-07-24,EXTREMADURA,27.6,36.056,3.466,5.0,12197.404,849.0
16847,2017-07-24,REGION DE MURCIA,26.767,34.333,2.662,5.0,243.948,31.4
16848,2017-07-25,ANDALUCIA,27.196,34.445,2.818,5.0,12757.581,1000.02
16853,2017-07-25,CASTILLA-LA MANCHA,23.678,31.41,2.678,5.0,4072.843,349.4
16854,2017-07-25,CATALUNA,22.159,28.198,3.323,5.0,389.316,24.29
16857,2017-07-25,COMUNITAT VALENCIANA,24.135,28.674,3.639,5.0,509.105,49.9
16858,2017-07-25,EXTREMADURA,27.938,36.771,2.412,5.0,11978.95,849.0
16865,2017-07-25,REGION DE MURCIA,26.389,31.611,3.3,5.0,239.579,31.4
16866,2017-07-26,ANDALUCIA,26.674,33.059,2.556,5.0,11830.091,1000.02
16871,2017-07-26,CASTILLA-LA MANCHA,24.452,33.525,2.11,5.0,3776.743,349.4
16872,2017-07-26,CATALUNA,22.062,28.591,2.667,5.0,361.012,24.29
16875,2017-07-26,COMUNITAT VALENCIANA,24.338,30.143,2.867,5.0,472.093,49.9
16876,2017-07-26,EXTREMADURA,29.054,38.112,1.842,5.0,11108.066,849.0
16883,2017-07-26,REGION DE MURCIA,28.233,33.611,2.512,5.0,222.161,31.4
16884,2017-07-27,ANDALUCIA,27.708,34.978,2.52,5.0,11768.747,1000.02
16889,2017-07-27,CASTILLA-LA MANCHA,27.415,36.732,2.42,5.0,3757.159,349.4
16890,2017-07-27,CATALUNA,24.118,31.509,2.848,5.0,359.14,24.29
16893,2017-07-27,COMUNITAT VALENCIANA,26.845,33.262,2.667,5.0,469.645,49.9
16894,2017-07-27,EXTREMADURA,29.603,38.6,2.905,5.0,11050.467,849.0
16901,2017-07-27,REGION DE MURCIA,27.789,34.24,2.838,5.0,221.009,31.4
16902,2017-07-28,ANDALUCIA,28.385,36.211,2.457,5.0,12001.635,1000.02
16907,2017-07-28,CASTILLA-LA MANCHA,28.562,37.528,2.343,5.0,3831.508,349.4
16908,2017-07-28,CATALUNA,25.486,31.293,2.358,5.0,366.247,24.29
16911,2017-07-28,COMUNITAT VALENCIANA,26.511,32.15,2.737,5.0,478.938,49.9
16912,2017-07-28,EXTREMADURA,28.958,38.742,2.95,5.0,11269.141,849.0
16919,2017-07-28,REGION DE MURCIA,28.46,35.8,2.5,5.0,225.383,31.4
16920,2017-07-29,ANDALUCIA,28.061,35.69,2.549,5.0,12308.847,1000.02
16925,2017-07-29,CASTILLA-LA MANCHA,27.75,37.108,2.632,5.0,3929.585,349.4
16926,2017-07-29,CATALUNA,25.656,31.772,2.708,5.0,375.622,24.29
16929,2017-07-29,COMUNITAT VALENCIANA,26.394,31.894,2.212,5.0,491.198,49.9
16930,2017-07-29,EXTREMADURA,28.925,38.125,2.904,5.0,11557.603,849.0
16937,2017-07-29,REGION DE MURCIA,27.85,34.69,2.467,5.0,231.152,31.4
16938,2017-07-30,ANDALUCIA,28.67,36.427,2.841,5.0,11885.278,1000.02
16943,2017-07-30,CASTILLA-LA MANCHA,28.348,37.532,2.772,5.0,3794.361,349.4
16944,2017-07-30,CATALUNA,26.435,32.771,2.335,5.0,362.696,24.29
16947,2017-07-30,COMUNITAT VALENCIANA,26.988,33.164,2.486,5.0,474.295,49.9
16948,2017-07-30,EXTREMADURA,28.492,37.208,3.2,5.0,11159.886,849.0
16955,2017-07-30,REGION DE MURCIA,29.18,37.28,2.911,5.0,223.198,31.4
16956,2017-07-31,ANDALUCIA,27.132,34.198,3.096,5.0,11327.361,1000.02
16961,2017-07-31,CASTILLA-LA MANCHA,27.427,35.347,3.075,5.0,3616.247,349.4
16962,2017-07-31,CATALUNA,26.86,32.831,3.181,5.0,345.671,24.29
16965,2017-07-31,COMUNITAT VALENCIANA,26.215,31.462,2.775,5.0,452.031,49.9
16966,2017-07-31,EXTREMADURA,24.858,33.442,2.976,5.0,10636.02,849.0
16973,2017-07-31,REGION DE MURCIA,27.52,34.07,2.867,5.0,212.72,31.4
16974,2017-08-01,ANDALUCIA,25.931,31.996,2.535,3.0,5808.807,1000.02
16979,2017-08-01,CASTILLA-LA MANCHA,25.598,32.658,1.996,4.0,2017.948,349.4
16980,2017-08-01,CATALUNA,25.43,29.928,2.464,2.0,201.795,24.29
16983,2017-08-01,COMUNITAT VALENCIANA,26.044,30.146,2.514,2.0,201.795,49.9
16984,2017-08-01,EXTREMADURA,24.455,32.493,2.4,5.0,6097.085,849.0
16991,2017-08-01,REGION DE MURCIA,28.91,33.88,2.811,3.0,86.483,31.4
16992,2017-08-02,ANDALUCIA,26.586,34.463,2.36,5.0,10485.334,1000.02
16997,2017-08-02,CASTILLA-LA MANCHA,26.39,34.232,2.738,5.0,3642.548,349.4
16998,2017-08-02,CATALUNA,27.052,33.779,2.308,5.0,364.255,24.29
17001,2017-08-02,COMUNITAT VALENCIANA,27.456,31.536,3.239,3.0,364.255,49.9
17002,2017-08-02,EXTREMADURA,25.834,35.875,2.141,5.0,11005.698,849.0
17009,2017-08-02,REGION DE MURCIA,29.189,33.64,3.562,3.0,156.109,31.4
17010,2017-08-03,ANDALUCIA,28.19,36.529,2.37,5.0,11957.292,1000.02
17015,2017-08-03,CASTILLA-LA MANCHA,27.388,36.79,1.82,5.0,4153.898,349.4
17016,2017-08-03,CATALUNA,28.569,35.883,2.436,5.0,415.39,24.29
17019,2017-08-03,COMUNITAT VALENCIANA,28.675,35.829,2.511,5.0,415.39,49.9
17020,2017-08-03,EXTREMADURA,27.675,37.816,2.525,5.0,12550.706,849.0
17027,2017-08-03,REGION DE MURCIA,29.88,36.72,2.2,5.0,178.024,31.4
17028,2017-08-04,ANDALUCIA,29.931,38.451,2.203,5.0,12302.743,1000.02
17033,2017-08-04,CASTILLA-LA MANCHA,28.877,38.419,1.448,5.0,4273.906,349.4
17034,2017-08-04,CATALUNA,28.097,35.166,2.39,5.0,427.391,24.29
17037,2017-08-04,COMUNITAT VALENCIANA,28.194,34.769,2.328,5.0,427.391,49.9
17038,2017-08-04,EXTREMADURA,31.375,40.708,2.484,5.0,12913.301,849.0
17045,2017-08-04,REGION DE MURCIA,29.81,36.38,2.911,5.0,183.167,31.4
17046,2017-08-05,ANDALUCIA,30.509,37.794,2.756,5.0,12049.982,1000.02
17051,2017-08-05,CASTILLA-LA MANCHA,30.12,38.969,2.669,5.0,4186.098,349.4
17052,2017-08-05,CATALUNA,28.064,34.16,2.817,5.0,418.61,24.29
17055,2017-08-05,COMUNITAT VALENCIANA,27.62,33.582,2.517,5.0,418.61,49.9
17056,2017-08-05,EXTREMADURA,30.75,39.492,3.298,5.0,12647.996,849.0
17063,2017-08-05,REGION DE MURCIA,29.21,35.73,2.567,5.0,179.404,31.4
17064,2017-08-06,ANDALUCIA,29.279,37.132,2.594,5.0,11523.511,1000.02
17069,2017-08-06,CASTILLA-LA MANCHA,28.084,36.214,3.249,5.0,4003.205,349.4
17070,2017-08-06,CATALUNA,25.712,30.634,2.527,4.0,400.32,24.29
17073,2017-08-06,COMUNITAT VALENCIANA,25.855,30.262,3.094,4.0,400.32,49.9
17074,2017-08-06,EXTREMADURA,28.125,37.484,2.418,5.0,12095.398,849.0
17081,2017-08-06,REGION DE MURCIA,28.21,33.47,3.211,5.0,171.566,31.4
17082,2017-08-07,ANDALUCIA,29.714,36.652,2.982,5.0,9178.96,1000.02
17087,2017-08-07,CASTILLA-LA MANCHA,28.196,36.654,3.605,5.0,3188.721,349.4
17088,2017-08-07,CATALUNA,25.632,30.511,3.496,4.0,318.872,24.29
17091,2017-08-07,COMUNITAT VALENCIANA,26.825,31.861,2.763,5.0,318.872,49.9
17092,2017-08-07,EXTREMADURA,27.592,36.492,3.584,5.0,9634.492,849.0
17099,2017-08-07,REGION DE MURCIA,28.84,33.7,2.544,4.0,136.659,31.4
17100,2017-08-08,ANDALUCIA,27.29,34.251,3.551,5.0,10135.212,1000.02
17105,2017-08-08,CASTILLA-LA MANCHA,23.875,30.878,2.841,5.0,3520.917,349.4
17106,2017-08-08,CATALUNA,23.131,27.95,3.442,4.0,352.092,24.29
17109,2017-08-08,COMUNITAT VALENCIANA,26.769,32.597,3.257,5.0,352.092,49.9
17110,2017-08-08,EXTREMADURA,23.416,31.85,3.325,5.0,10638.2,849.0
17117,2017-08-08,REGION DE MURCIA,30.17,36.81,3.0,5.0,150.896,31.4
17118,2017-08-09,ANDALUCIA,24.695,31.468,3.402,5.0,11823.172,1000.02
17123,2017-08-09,CASTILLA-LA MANCHA,22.113,29.95,3.035,5.0,4107.305,349.4
17124,2017-08-09,CATALUNA,19.482,24.793,2.719,2.0,410.731,24.29
17127,2017-08-09,COMUNITAT VALENCIANA,22.896,27.8,3.73,3.0,410.731,49.9
17128,2017-08-09,EXTREMADURA,22.941,31.092,3.742,5.0,12409.93,849.0
17135,2017-08-09,REGION DE MURCIA,28.07,33.16,2.822,5.0,176.027,31.4
17136,2017-08-10,ANDALUCIA,24.558,31.24,3.51,5.0,11694.245,1000.02
17141,2017-08-10,CASTILLA-LA MANCHA,19.5,27.337,2.515,5.0,4062.517,349.4
17142,2017-08-10,CATALUNA,19.147,25.627,3.312,5.0,406.252,24.29
17145,2017-08-10,COMUNITAT VALENCIANA,20.464,26.031,3.063,5.0,406.252,49.9
17146,2017-08-10,EXTREMADURA,24.234,31.808,3.042,5.0,12274.604,849.0
17153,2017-08-10,REGION DE MURCIA,23.98,27.33,3.7,3.0,174.108,31.4
17154,2017-08-11,ANDALUCIA,25.986,32.705,3.16,5.0,11666.307,1000.02
17159,2017-08-11,CASTILLA-LA MANCHA,21.24,29.922,1.898,5.0,4052.811,349.4
17160,2017-08-11,CATALUNA,19.543,25.703,2.842,5.0,405.281,24.29
17163,2017-08-11,COMUNITAT VALENCIANA,20.917,26.847,2.617,5.0,405.281,49.9
17164,2017-08-11,EXTREMADURA,25.184,34.65,2.542,5.0,12245.28,849.0
17171,2017-08-11,REGION DE MURCIA,24.53,29.74,3.056,5.0,173.692,31.4
17172,2017-08-12,ANDALUCIA,26.294,33.196,3.29,5.0,12227.22,1000.02
17177,2017-08-12,CASTILLA-LA MANCHA,23.103,32.358,2.05,5.0,4247.67,349.4
17178,2017-08-12,CATALUNA,20.743,27.661,2.792,5.0,424.767,24.29
17181,2017-08-12,COMUNITAT VALENCIANA,22.065,28.144,2.656,5.0,424.767,49.9
17182,2017-08-12,EXTREMADURA,26.809,36.734,1.875,5.0,12834.03,849.0
17189,2017-08-12,REGION DE MURCIA,24.43,29.85,3.078,5.0,182.043,31.4
17190,2017-08-13,ANDALUCIA,26.478,33.518,3.515,5.0,11838.122,1000.02
17195,2017-08-13,CASTILLA-LA MANCHA,24.603,33.597,2.28,5.0,4112.499,349.4
17196,2017-08-13,CATALUNA,22.339,29.11,2.736,5.0,411.25,24.29
17199,2017-08-13,COMUNITAT VALENCIANA,22.794,28.531,3.067,5.0,411.25,49.9
17200,2017-08-13,EXTREMADURA,28.275,38.008,1.975,5.0,12425.622,849.0
17207,2017-08-13,REGION DE MURCIA,24.29,29.92,3.378,5.0,176.25,31.4
17208,2017-08-14,ANDALUCIA,26.998,33.546,3.484,5.0,10075.088,1000.02
17213,2017-08-14,CASTILLA-LA MANCHA,25.868,34.472,2.878,5.0,3500.031,349.4
17214,2017-08-14,CATALUNA,23.789,30.528,3.046,5.0,350.003,24.29
17217,2017-08-14,COMUNITAT VALENCIANA,23.449,28.946,3.022,5.0,350.003,49.9
17218,2017-08-14,EXTREMADURA,28.742,37.342,2.708,5.0,10575.092,849.0
17225,2017-08-14,REGION DE MURCIA,24.98,30.31,3.611,5.0,150.001,31.4
17226,2017-08-15,ANDALUCIA,27.744,34.652,2.672,5.0,7818.985,1000.02
17231,2017-08-15,CASTILLA-LA MANCHA,26.836,35.333,2.582,5.0,2716.273,349.4
17232,2017-08-15,CATALUNA,23.72,30.231,2.375,4.0,271.627,24.29
17235,2017-08-15,COMUNITAT VALENCIANA,24.811,30.262,2.733,4.0,271.627,49.9
17236,2017-08-15,EXTREMADURA,27.883,36.392,3.016,5.0,8207.024,849.0
17243,2017-08-15,REGION DE MURCIA,27.03,32.89,2.822,4.0,116.412,31.4
17244,2017-08-16,ANDALUCIA,27.912,35.076,2.695,5.0,9664.041,1000.02
17249,2017-08-16,CASTILLA-LA MANCHA,26.624,35.639,2.009,5.0,3357.235,349.4
17250,2017-08-16,CATALUNA,24.87,30.288,2.083,5.0,335.724,24.29
17253,2017-08-16,COMUNITAT VALENCIANA,26.155,31.021,2.594,5.0,335.724,49.9
17254,2017-08-16,EXTREMADURA,26.875,36.183,2.583,5.0,10143.646,849.0
17261,2017-08-16,REGION DE MURCIA,27.79,33.05,2.267,5.0,143.882,31.4
17262,2017-08-17,ANDALUCIA,28.168,35.436,2.633,5.0,10750.959,1000.02
17267,2017-08-17,CASTILLA-LA MANCHA,27.253,36.573,2.096,5.0,3734.824,349.4
17268,2017-08-17,CATALUNA,25.38,31.978,2.975,5.0,373.482,24.29
17271,2017-08-17,COMUNITAT VALENCIANA,26.272,31.292,2.882,5.0,373.482,49.9
17272,2017-08-17,EXTREMADURA,29.066,38.792,1.866,5.0,11284.505,849.0
17279,2017-08-17,REGION DE MURCIA,27.91,32.82,2.567,5.0,160.064,31.4
17280,2017-08-18,ANDALUCIA,28.69,35.787,2.502,5.0,10777.974,1000.02
17285,2017-08-18,CASTILLA-LA MANCHA,28.269,37.28,2.483,5.0,3744.209,349.4
17286,2017-08-18,CATALUNA,26.088,32.436,3.062,5.0,374.421,24.29
17289,2017-08-18,COMUNITAT VALENCIANA,26.272,32.061,2.532,5.0,374.421,49.9
17290,2017-08-18,EXTREMADURA,30.008,38.958,2.775,5.0,11312.861,849.0
17297,2017-08-18,REGION DE MURCIA,27.7,33.74,2.289,5.0,160.466,31.4
17298,2017-08-19,ANDALUCIA,28.889,36.137,2.937,5.0,10209.511,1000.02
17303,2017-08-19,CASTILLA-LA MANCHA,27.302,35.458,2.575,5.0,3546.728,349.4
17304,2017-08-19,CATALUNA,24.62,29.028,2.74,4.0,354.673,24.29
17307,2017-08-19,COMUNITAT VALENCIANA,25.436,29.717,2.95,5.0,354.673,49.9
17308,2017-08-19,EXTREMADURA,29.666,39.066,1.934,5.0,10716.186,849.0
17315,2017-08-19,REGION DE MURCIA,26.89,31.92,3.411,5.0,152.003,31.4
17316,2017-08-20,ANDALUCIA,28.66,35.467,3.48,5.0,10380.47,1000.02
17321,2017-08-20,CASTILLA-LA MANCHA,26.981,35.223,2.455,5.0,3606.118,349.4
17322,2017-08-20,CATALUNA,23.769,29.413,2.85,5.0,360.612,24.29
17325,2017-08-20,COMUNITAT VALENCIANA,24.781,29.317,2.742,5.0,360.612,49.9
17326,2017-08-20,EXTREMADURA,31.3,40.675,2.1,5.0,10895.629,849.0
17333,2017-08-20,REGION DE MURCIA,26.78,31.21,3.522,5.0,154.548,31.4
17334,2017-08-21,ANDALUCIA,28.226,34.463,3.412,5.0,9875.166,1000.02
