value,percentage,datetime
574776.72,1,2020-01-01T00:00:00.000+01:00
723522.375,1,2020-01-02T00:00:00.000+01:00
754645.342,1,2020-01-03T00:00:00.000+01:00
702390.878,1,2020-01-04T00:00:00.000+01:00
651967.486,1,2020-01-05T00:00:00.000+01:00
630259.532,1,2020-01-06T00:00:00.000+01:00
789031.621,1,2020-01-07T00:00:00.000+01:00
820143.678,1,2020-01-08T00:00:00.000+01:00
820769.614,1,2020-01-09T00:00:00.000+01:00
814759.827,1,2020-01-10T00:00:00.000+01:00
732531.725,1,2020-01-11T00:00:00.000+01:00
693449.101,1,2020-01-12T00:00:00.000+01:00
829157.906,1,2020-01-13T00:00:00.000+01:00
844416.079,1,2020-01-14T00:00:00.000+01:00
832910.293,1,2020-01-15T00:00:00.000+01:00
822827.255,1,2020-01-16T00:00:00.000+01:00
807653.787,1,2020-01-17T00:00:00.000+01:00
729673.024,1,2020-01-18T00:00:00.000+01:00
689820.886,1,2020-01-19T00:00:00.000+01:00
846106.888,1,2020-01-20T00:00:00.000+01:00
862132.604,1,2020-01-21T00:00:00.000+01:00
841706.187,1,2020-01-22T00:00:00.000+01:00
829427.103,1,2020-01-23T00:00:00.000+01:00
821136.183,1,2020-01-24T00:00:00.000+01:00
734265.345,1,2020-01-25T00:00:00.000+01:00
676369.262,1,2020-01-26T00:00:00.000+01:00
807615.701,1,2020-01-27T00:00:00.000+01:00
807001.677,1,2020-01-28T00:00:00.000+01:00
792162.501,1,2020-01-29T00:00:00.000+01:00
778203.546,1,2020-01-30T00:00:00.000+01:00
765448.598,1,2020-01-31T00:00:00.000+01:00
681471.943,1,2020-02-01T00:00:00.000+01:00
625016.468,1,2020-02-02T00:00:00.000+01:00
729329.082,1,2020-02-03T00:00:00.000+01:00
747892.827,1,2020-02-04T00:00:00.000+01:00
758987.788,1,2020-02-05T00:00:00.000+01:00
769754.643,1,2020-02-06T00:00:00.000+01:00
772488.589,1,2020-02-07T00:00:00.000+01:00
698199.59,1,2020-02-08T00:00:00.000+01:00
646787.156,1,2020-02-09T00:00:00.000+01:00
749504.414,1,2020-02-10T00:00:00.000+01:00
761008.347,1,2020-02-11T00:00:00.000+01:00
766558.356,1,2020-02-12T00:00:00.000+01:00
759532.177,1,2020-02-13T00:00:00.000+01:00
753954.141,1,2020-02-14T00:00:00.000+01:00
675832.097,1,2020-02-15T00:00:00.000+01:00
625453.407,1,2020-02-16T00:00:00.000+01:00
739797.699,1,2020-02-17T00:00:00.000+01:00
766371.869,1,2020-02-18T00:00:00.000+01:00
764941.248,1,2020-02-19T00:00:00.000+01:00
763651.659,1,2020-02-20T00:00:00.000+01:00
753744.734,1,2020-02-21T00:00:00.000+01:00
672072.47,1,2020-02-22T00:00:00.000+01:00
620872.08,1,2020-02-23T00:00:00.000+01:00
730827.761,1,2020-02-24T00:00:00.000+01:00
743820.753,1,2020-02-25T00:00:00.000+01:00
753405.313,1,2020-02-26T00:00:00.000+01:00
751137.432,1,2020-02-27T00:00:00.000+01:00
728292.593,1,2020-02-28T00:00:00.000+01:00
670263.321,1,2020-02-29T00:00:00.000+01:00
626873.694,1,2020-03-01T00:00:00.000+01:00
741296.331,1,2020-03-02T00:00:00.000+01:00
769321.188,1,2020-03-03T00:00:00.000+01:00
759058.244,1,2020-03-04T00:00:00.000+01:00
754365.164,1,2020-03-05T00:00:00.000+01:00
757995.483,1,2020-03-06T00:00:00.000+01:00
683532.439,1,2020-03-07T00:00:00.000+01:00
630442.877,1,2020-03-08T00:00:00.000+01:00
740417.533,1,2020-03-09T00:00:00.000+01:00
747566.521,1,2020-03-10T00:00:00.000+01:00
742561.392,1,2020-03-11T00:00:00.000+01:00
738088.907,1,2020-03-12T00:00:00.000+01:00
729774.542,1,2020-03-13T00:00:00.000+01:00
646497.547,1,2020-03-14T00:00:00.000+01:00
600435.811,1,2020-03-15T00:00:00.000+01:00
704124.264,1,2020-03-16T00:00:00.000+01:00
706050.583,1,2020-03-17T00:00:00.000+01:00
684799.07,1,2020-03-18T00:00:00.000+01:00
641992.028,1,2020-03-19T00:00:00.000+01:00
647058.248,1,2020-03-20T00:00:00.000+01:00
612492.101,1,2020-03-21T00:00:00.000+01:00
583510.909,1,2020-03-22T00:00:00.000+01:00
653558.582,1,2020-03-23T00:00:00.000+01:00
663819.764,1,2020-03-24T00:00:00.000+01:00
664643.791,1,2020-03-25T00:00:00.000+01:00
661338.324,1,2020-03-26T00:00:00.000+01:00
667335.755,1,2020-03-27T00:00:00.000+01:00
605617.221,1,2020-03-28T00:00:00.000+01:00
540515.04,1,2020-03-29T00:00:00.000+01:00
610996.075,1,2020-03-30T00:00:00.000+02:00
610653.934,1,2020-03-31T00:00:00.000+02:00
599875.958,1,2020-04-01T00:00:00.000+02:00
599323.162,1,2020-04-02T00:00:00.000+02:00
584683.694,1,2020-04-03T00:00:00.000+02:00
542996.041,1,2020-04-04T00:00:00.000+02:00
519594.376,1,2020-04-05T00:00:00.000+02:00
568143.84,1,2020-04-06T00:00:00.000+02:00
567082.621,1,2020-04-07T00:00:00.000+02:00
555027.089,1,2020-04-08T00:00:00.000+02:00
529824.736,1,2020-04-09T00:00:00.000+02:00
510435.49,1,2020-04-10T00:00:00.000+02:00
518229.908,1,2020-04-11T00:00:00.000+02:00
501615.48,1,2020-04-12T00:00:00.000+02:00
537818.991,1,2020-04-13T00:00:00.000+02:00
584017.243,1,2020-04-14T00:00:00.000+02:00
604347.185,1,2020-04-15T00:00:00.000+02:00
604521.525,1,2020-04-16T00:00:00.000+02:00
598697.568,1,2020-04-17T00:00:00.000+02:00
552914.776,1,2020-04-18T00:00:00.000+02:00
520123.268,1,2020-04-19T00:00:00.000+02:00
585331.059,1,2020-04-20T00:00:00.000+02:00
608880.705,1,2020-04-21T00:00:00.000+02:00
608023.375,1,2020-04-22T00:00:00.000+02:00
599598.011,1,2020-04-23T00:00:00.000+02:00
594661.984,1,2020-04-24T00:00:00.000+02:00
556038.735,1,2020-04-25T00:00:00.000+02:00
522374.953,1,2020-04-26T00:00:00.000+02:00
590579.965,1,2020-04-27T00:00:00.000+02:00
601203.105,1,2020-04-28T00:00:00.000+02:00
600234.68,1,2020-04-29T00:00:00.000+02:00
594712.471,1,2020-04-30T00:00:00.000+02:00
525344.189,1,2020-05-01T00:00:00.000+02:00
529331.136,1,2020-05-02T00:00:00.000+02:00
509365.967,1,2020-05-03T00:00:00.000+02:00
585884.404,1,2020-05-04T00:00:00.000+02:00
607115.027,1,2020-05-05T00:00:00.000+02:00
610199.36,1,2020-05-06T00:00:00.000+02:00
604624.142,1,2020-05-07T00:00:00.000+02:00
597179.788,1,2020-05-08T00:00:00.000+02:00
547084.706,1,2020-05-09T00:00:00.000+02:00
513399.456,1,2020-05-10T00:00:00.000+02:00
591350.652,1,2020-05-11T00:00:00.000+02:00
617479.021,1,2020-05-12T00:00:00.000+02:00
617401.116,1,2020-05-13T00:00:00.000+02:00
620557.901,1,2020-05-14T00:00:00.000+02:00
608952.25,1,2020-05-15T00:00:00.000+02:00
555670.934,1,2020-05-16T00:00:00.000+02:00
519597.946,1,2020-05-17T00:00:00.000+02:00
596670.207,1,2020-05-18T00:00:00.000+02:00
615052.604,1,2020-05-19T00:00:00.000+02:00
622450.073,1,2020-05-20T00:00:00.000+02:00
630168.002,1,2020-05-21T00:00:00.000+02:00
634355.264,1,2020-05-22T00:00:00.000+02:00
582895.641,1,2020-05-23T00:00:00.000+02:00
542170.641,1,2020-05-24T00:00:00.000+02:00
627466.111,1,2020-05-25T00:00:00.000+02:00
642990.536,1,2020-05-26T00:00:00.000+02:00
644707.726,1,2020-05-27T00:00:00.000+02:00
642005.868,1,2020-05-28T00:00:00.000+02:00
641570.31,1,2020-05-29T00:00:00.000+02:00
583380.433,1,2020-05-30T00:00:00.000+02:00
541662.429,1,2020-05-31T00:00:00.000+02:00
627334.741,1,2020-06-01T00:00:00.000+02:00
653396.5,1,2020-06-02T00:00:00.000+02:00
662452.407,1,2020-06-03T00:00:00.000+02:00
651301.681,1,2020-06-04T00:00:00.000+02:00
640912.088,1,2020-06-05T00:00:00.000+02:00
582674.188,1,2020-06-06T00:00:00.000+02:00
540393.818,1,2020-06-07T00:00:00.000+02:00
625763.383,1,2020-06-08T00:00:00.000+02:00
643604.721,1,2020-06-09T00:00:00.000+02:00
653728.489,1,2020-06-10T00:00:00.000+02:00
653624.408,1,2020-06-11T00:00:00.000+02:00
645918.049,1,2020-06-12T00:00:00.000+02:00
581088.713,1,2020-06-13T00:00:00.000+02:00
543304.621,1,2020-06-14T00:00:00.000+02:00
644001.077,1,2020-06-15T00:00:00.000+02:00
656823.463,1,2020-06-16T00:00:00.000+02:00
661145.578,1,2020-06-17T00:00:00.000+02:00
662011.432,1,2020-06-18T00:00:00.000+02:00
657676.183,1,2020-06-19T00:00:00.000+02:00
608254.976,1,2020-06-20T00:00:00.000+02:00
572807.006,1,2020-06-21T00:00:00.000+02:00
682963.291,1,2020-06-22T00:00:00.000+02:00
706613.83,1,2020-06-23T00:00:00.000+02:00
668203.326,1,2020-06-24T00:00:00.000+02:00
711838.827,1,2020-06-25T00:00:00.000+02:00
702221.428,1,2020-06-26T00:00:00.000+02:00
638125.491,1,2020-06-27T00:00:00.000+02:00
604144.564,1,2020-06-28T00:00:00.000+02:00
723951.102,1,2020-06-29T00:00:00.000+02:00
752302.735,1,2020-06-30T00:00:00.000+02:00
763359.011,1,2020-07-01T00:00:00.000+02:00
765790.102,1,2020-07-02T00:00:00.000+02:00
735357.247,1,2020-07-03T00:00:00.000+02:00
660713.186,1,2020-07-04T00:00:00.000+02:00
626327.165,1,2020-07-05T00:00:00.000+02:00
757299.096,1,2020-07-06T00:00:00.000+02:00
780525.085,1,2020-07-07T00:00:00.000+02:00
784566.99,1,2020-07-08T00:00:00.000+02:00
