value,percentage,datetime
585187.707,1,2014-01-01T00:00:00.000+01:00
715794.155,1,2014-01-02T00:00:00.000+01:00
721981.111,1,2014-01-03T00:00:00.000+01:00
679475.493,1,2014-01-04T00:00:00.000+01:00
641269.383,1,2014-01-05T00:00:00.000+01:00
604080.253,1,2014-01-06T00:00:00.000+01:00
753530.758,1,2014-01-07T00:00:00.000+01:00
780952.318,1,2014-01-08T00:00:00.000+01:00
783659.241,1,2014-01-09T00:00:00.000+01:00
782076.197,1,2014-01-10T00:00:00.000+01:00
707705.498,1,2014-01-11T00:00:00.000+01:00
659561.816,1,2014-01-12T00:00:00.000+01:00
785574.689,1,2014-01-13T00:00:00.000+01:00
801855.672,1,2014-01-14T00:00:00.000+01:00
798151.058,1,2014-01-15T00:00:00.000+01:00
797720.015,1,2014-01-16T00:00:00.000+01:00
792593.883,1,2014-01-17T00:00:00.000+01:00
717442.486,1,2014-01-18T00:00:00.000+01:00
670802.977,1,2014-01-19T00:00:00.000+01:00
799958.475,1,2014-01-20T00:00:00.000+01:00
823668.632,1,2014-01-21T00:00:00.000+01:00
821130.597,1,2014-01-22T00:00:00.000+01:00
809113.576,1,2014-01-23T00:00:00.000+01:00
802959.164,1,2014-01-24T00:00:00.000+01:00
710079.879,1,2014-01-25T00:00:00.000+01:00
646078.494,1,2014-01-26T00:00:00.000+01:00
773407.421,1,2014-01-27T00:00:00.000+01:00
811722.1,1,2014-01-28T00:00:00.000+01:00
809906.146,1,2014-01-29T00:00:00.000+01:00
810110.631,1,2014-01-30T00:00:00.000+01:00
803820.832,1,2014-01-31T00:00:00.000+01:00
724514.782,1,2014-02-01T00:00:00.000+01:00
670585.039,1,2014-02-02T00:00:00.000+01:00
815898.695,1,2014-02-03T00:00:00.000+01:00
832074.601,1,2014-02-04T00:00:00.000+01:00
816496.477,1,2014-02-05T00:00:00.000+01:00
798020.728,1,2014-02-06T00:00:00.000+01:00
791549.87,1,2014-02-07T00:00:00.000+01:00
718889.117,1,2014-02-08T00:00:00.000+01:00
675911.06,1,2014-02-09T00:00:00.000+01:00
800282.512,1,2014-02-10T00:00:00.000+01:00
837913.449,1,2014-02-11T00:00:00.000+01:00
822246.956,1,2014-02-12T00:00:00.000+01:00
794927.974,1,2014-02-13T00:00:00.000+01:00
770057.089,1,2014-02-14T00:00:00.000+01:00
696975.143,1,2014-02-15T00:00:00.000+01:00
651748.435,1,2014-02-16T00:00:00.000+01:00
781805.561,1,2014-02-17T00:00:00.000+01:00
798659.558,1,2014-02-18T00:00:00.000+01:00
785489.244,1,2014-02-19T00:00:00.000+01:00
789795.338,1,2014-02-20T00:00:00.000+01:00
775456.245,1,2014-02-21T00:00:00.000+01:00
696026.33,1,2014-02-22T00:00:00.000+01:00
642713.288,1,2014-02-23T00:00:00.000+01:00
774933.995,1,2014-02-24T00:00:00.000+01:00
794283.022,1,2014-02-25T00:00:00.000+01:00
786196.696,1,2014-02-26T00:00:00.000+01:00
795177.334,1,2014-02-27T00:00:00.000+01:00
773894.136,1,2014-02-28T00:00:00.000+01:00
712665.985,1,2014-03-01T00:00:00.000+01:00
641418.404,1,2014-03-02T00:00:00.000+01:00
764247.074,1,2014-03-03T00:00:00.000+01:00
782465.15,1,2014-03-04T00:00:00.000+01:00
770119.519,1,2014-03-05T00:00:00.000+01:00
760002.004,1,2014-03-06T00:00:00.000+01:00
748795.708,1,2014-03-07T00:00:00.000+01:00
667022.952,1,2014-03-08T00:00:00.000+01:00
612035.319,1,2014-03-09T00:00:00.000+01:00
734185.692,1,2014-03-10T00:00:00.000+01:00
748784.623,1,2014-03-11T00:00:00.000+01:00
748306.798,1,2014-03-12T00:00:00.000+01:00
748403.472,1,2014-03-13T00:00:00.000+01:00
748490.572,1,2014-03-14T00:00:00.000+01:00
666820.66,1,2014-03-15T00:00:00.000+01:00
605510.401,1,2014-03-16T00:00:00.000+01:00
706893.326,1,2014-03-17T00:00:00.000+01:00
720392.997,1,2014-03-18T00:00:00.000+01:00
700306.678,1,2014-03-19T00:00:00.000+01:00
717372.041,1,2014-03-20T00:00:00.000+01:00
721361.744,1,2014-03-21T00:00:00.000+01:00
654330.3,1,2014-03-22T00:00:00.000+01:00
604403.702,1,2014-03-23T00:00:00.000+01:00
732683.358,1,2014-03-24T00:00:00.000+01:00
754953.669,1,2014-03-25T00:00:00.000+01:00
761473.373,1,2014-03-26T00:00:00.000+01:00
745577.372,1,2014-03-27T00:00:00.000+01:00
748277.72,1,2014-03-28T00:00:00.000+01:00
682437.321,1,2014-03-29T00:00:00.000+01:00
600475.645,1,2014-03-30T00:00:00.000+01:00
727905.042,1,2014-03-31T00:00:00.000+02:00
737347.957,1,2014-04-01T00:00:00.000+02:00
744269.706,1,2014-04-02T00:00:00.000+02:00
746006.295,1,2014-04-03T00:00:00.000+02:00
736254.344,1,2014-04-04T00:00:00.000+02:00
652680.7,1,2014-04-05T00:00:00.000+02:00
589577.188,1,2014-04-06T00:00:00.000+02:00
695245.653,1,2014-04-07T00:00:00.000+02:00
708460.074,1,2014-04-08T00:00:00.000+02:00
707245.888,1,2014-04-09T00:00:00.000+02:00
699405.903,1,2014-04-10T00:00:00.000+02:00
702090.736,1,2014-04-11T00:00:00.000+02:00
634639.561,1,2014-04-12T00:00:00.000+02:00
575829.276,1,2014-04-13T00:00:00.000+02:00
672606.871,1,2014-04-14T00:00:00.000+02:00
686222.998,1,2014-04-15T00:00:00.000+02:00
676455.071,1,2014-04-16T00:00:00.000+02:00
599027.422,1,2014-04-17T00:00:00.000+02:00
544232.57,1,2014-04-18T00:00:00.000+02:00
571007.538,1,2014-04-19T00:00:00.000+02:00
545741.747,1,2014-04-20T00:00:00.000+02:00
602651.961,1,2014-04-21T00:00:00.000+02:00
675742.025,1,2014-04-22T00:00:00.000+02:00
681691.573,1,2014-04-23T00:00:00.000+02:00
697692.061,1,2014-04-24T00:00:00.000+02:00
699581.948,1,2014-04-25T00:00:00.000+02:00
637368.45,1,2014-04-26T00:00:00.000+02:00
578188.988,1,2014-04-27T00:00:00.000+02:00
675926.405,1,2014-04-28T00:00:00.000+02:00
698324.827,1,2014-04-29T00:00:00.000+02:00
695055.117,1,2014-04-30T00:00:00.000+02:00
574575.225,1,2014-05-01T00:00:00.000+02:00
620746.391,1,2014-05-02T00:00:00.000+02:00
605799.623,1,2014-05-03T00:00:00.000+02:00
563664.444,1,2014-05-04T00:00:00.000+02:00
678581.394,1,2014-05-05T00:00:00.000+02:00
700899.003,1,2014-05-06T00:00:00.000+02:00
706480.5,1,2014-05-07T00:00:00.000+02:00
707922.031,1,2014-05-08T00:00:00.000+02:00
706395.755,1,2014-05-09T00:00:00.000+02:00
640171.174,1,2014-05-10T00:00:00.000+02:00
587449.9,1,2014-05-11T00:00:00.000+02:00
695267.242,1,2014-05-12T00:00:00.000+02:00
711132.734,1,2014-05-13T00:00:00.000+02:00
711151.12,1,2014-05-14T00:00:00.000+02:00
694727.591,1,2014-05-15T00:00:00.000+02:00
695090.039,1,2014-05-16T00:00:00.000+02:00
624012.76,1,2014-05-17T00:00:00.000+02:00
571279.083,1,2014-05-18T00:00:00.000+02:00
684319.597,1,2014-05-19T00:00:00.000+02:00
704588.066,1,2014-05-20T00:00:00.000+02:00
709090.721,1,2014-05-21T00:00:00.000+02:00
703358.653,1,2014-05-22T00:00:00.000+02:00
700012.32,1,2014-05-23T00:00:00.000+02:00
628243.358,1,2014-05-24T00:00:00.000+02:00
569622.835,1,2014-05-25T00:00:00.000+02:00
682808.633,1,2014-05-26T00:00:00.000+02:00
701665.843,1,2014-05-27T00:00:00.000+02:00
709293.309,1,2014-05-28T00:00:00.000+02:00
704659.272,1,2014-05-29T00:00:00.000+02:00
695194.962,1,2014-05-30T00:00:00.000+02:00
628458.786,1,2014-05-31T00:00:00.000+02:00
570459.912,1,2014-06-01T00:00:00.000+02:00
680127.856,1,2014-06-02T00:00:00.000+02:00
705315.564,1,2014-06-03T00:00:00.000+02:00
710840.59,1,2014-06-04T00:00:00.000+02:00
714428.153,1,2014-06-05T00:00:00.000+02:00
719598.706,1,2014-06-06T00:00:00.000+02:00
651054.546,1,2014-06-07T00:00:00.000+02:00
594001.1,1,2014-06-08T00:00:00.000+02:00
695755.662,1,2014-06-09T00:00:00.000+02:00
730675.884,1,2014-06-10T00:00:00.000+02:00
743742.652,1,2014-06-11T00:00:00.000+02:00
755973.426,1,2014-06-12T00:00:00.000+02:00
763738.696,1,2014-06-13T00:00:00.000+02:00
691018.064,1,2014-06-14T00:00:00.000+02:00
616603.553,1,2014-06-15T00:00:00.000+02:00
719717.78,1,2014-06-16T00:00:00.000+02:00
736727.57,1,2014-06-17T00:00:00.000+02:00
735254.731,1,2014-06-18T00:00:00.000+02:00
717735.19,1,2014-06-19T00:00:00.000+02:00
727282.919,1,2014-06-20T00:00:00.000+02:00
664238.054,1,2014-06-21T00:00:00.000+02:00
605838.269,1,2014-06-22T00:00:00.000+02:00
701972.887,1,2014-06-23T00:00:00.000+02:00
680244.322,1,2014-06-24T00:00:00.000+02:00
714180.092,1,2014-06-25T00:00:00.000+02:00
727495.923,1,2014-06-26T00:00:00.000+02:00
732733.703,1,2014-06-27T00:00:00.000+02:00
671599.382,1,2014-06-28T00:00:00.000+02:00
599219.522,1,2014-06-29T00:00:00.000+02:00
709384.072,1,2014-06-30T00:00:00.000+02:00
