Título,evolucion_01-01-2018_31-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/ene/18,02/ene/18,03/ene/18,04/ene/18,05/ene/18,06/ene/18,07/ene/18,08/ene/18,09/ene/18,10/ene/18,11/ene/18,12/ene/18,13/ene/18,14/ene/18,15/ene/18,16/ene/18,17/ene/18,18/ene/18,19/ene/18,20/ene/18,21/ene/18,22/ene/18,23/ene/18,24/ene/18,25/ene/18,26/ene/18,27/ene/18,28/ene/18,29/ene/18,30/ene/18,31/ene/18,01/feb/18,02/feb/18,03/feb/18,04/feb/18,05/feb/18,06/feb/18,07/feb/18,08/feb/18,09/feb/18,10/feb/18,11/feb/18,12/feb/18,13/feb/18,14/feb/18,15/feb/18,16/feb/18,17/feb/18,18/feb/18,19/feb/18,20/feb/18,21/feb/18,22/feb/18,23/feb/18,24/feb/18,25/feb/18,26/feb/18,27/feb/18,28/feb/18,01/mar/18,02/mar/18,03/mar/18,04/mar/18,05/mar/18,06/mar/18,07/mar/18,08/mar/18,09/mar/18,10/mar/18,11/mar/18,12/mar/18,13/mar/18,14/mar/18,15/mar/18,16/mar/18,17/mar/18,18/mar/18,19/mar/18,20/mar/18,21/mar/18,22/mar/18,23/mar/18,24/mar/18,25/mar/18,26/mar/18,27/mar/18,28/mar/18,29/mar/18,30/mar/18,31/mar/18,01/abr/18,02/abr/18,03/abr/18,04/abr/18,05/abr/18,06/abr/18,07/abr/18,08/abr/18,09/abr/18,10/abr/18,11/abr/18,12/abr/18,13/abr/18,14/abr/18,15/abr/18,16/abr/18,17/abr/18,18/abr/18,19/abr/18,20/abr/18,21/abr/18,22/abr/18,23/abr/18,24/abr/18,25/abr/18,26/abr/18,27/abr/18,28/abr/18,29/abr/18,30/abr/18,01/may/18,02/may/18,03/may/18,04/may/18,05/may/18,06/may/18,07/may/18,08/may/18,09/may/18,10/may/18,11/may/18,12/may/18,13/may/18,14/may/18,15/may/18,16/may/18,17/may/18,18/may/18,19/may/18,20/may/18,21/may/18,22/may/18,23/may/18,24/may/18,25/may/18,26/may/18,27/may/18,28/may/18,29/may/18,30/may/18,31/may/18,01/jun/18,02/jun/18,03/jun/18,04/jun/18,05/jun/18,06/jun/18,07/jun/18,08/jun/18,09/jun/18,10/jun/18,11/jun/18,12/jun/18,13/jun/18,14/jun/18,15/jun/18,16/jun/18,17/jun/18,18/jun/18,19/jun/18,20/jun/18,21/jun/18,22/jun/18,23/jun/18,24/jun/18,25/jun/18,26/jun/18,27/jun/18,28/jun/18,29/jun/18,30/jun/18,01/jul/18,02/jul/18,03/jul/18,04/jul/18,05/jul/18,06/jul/18,07/jul/18,08/jul/18,09/jul/18,10/jul/18,11/jul/18,12/jul/18,13/jul/18,14/jul/18,15/jul/18,16/jul/18,17/jul/18,18/jul/18,19/jul/18,20/jul/18,21/jul/18,22/jul/18,23/jul/18,24/jul/18,25/jul/18,26/jul/18,27/jul/18,28/jul/18,29/jul/18,30/jul/18,31/jul/18,01/ago/18,02/ago/18,03/ago/18,04/ago/18,05/ago/18,06/ago/18,07/ago/18,08/ago/18,09/ago/18,10/ago/18,11/ago/18,12/ago/18,13/ago/18,14/ago/18,15/ago/18,16/ago/18,17/ago/18,18/ago/18,19/ago/18,20/ago/18,21/ago/18,22/ago/18,23/ago/18,24/ago/18,25/ago/18,26/ago/18,27/ago/18,28/ago/18,29/ago/18,30/ago/18,31/ago/18,01/sep/18,02/sep/18,03/sep/18,04/sep/18,05/sep/18,06/sep/18,07/sep/18,08/sep/18,09/sep/18,10/sep/18,11/sep/18,12/sep/18,13/sep/18,14/sep/18,15/sep/18,16/sep/18,17/sep/18,18/sep/18,19/sep/18,20/sep/18,21/sep/18,22/sep/18,23/sep/18,24/sep/18,25/sep/18,26/sep/18,27/sep/18,28/sep/18,29/sep/18,30/sep/18,01/oct/18,02/oct/18,03/oct/18,04/oct/18,05/oct/18,06/oct/18,07/oct/18,08/oct/18,09/oct/18,10/oct/18,11/oct/18,12/oct/18,13/oct/18,14/oct/18,15/oct/18,16/oct/18,17/oct/18,18/oct/18,19/oct/18,20/oct/18,21/oct/18,22/oct/18,23/oct/18,24/oct/18,25/oct/18,26/oct/18,27/oct/18,28/oct/18,29/oct/18,30/oct/18,31/oct/18,01/nov/18,02/nov/18,03/nov/18,04/nov/18,05/nov/18,06/nov/18,07/nov/18,08/nov/18,09/nov/18,10/nov/18,11/nov/18,12/nov/18,13/nov/18,14/nov/18,15/nov/18,16/nov/18,17/nov/18,18/nov/18,19/nov/18,20/nov/18,21/nov/18,22/nov/18,23/nov/18,24/nov/18,25/nov/18,26/nov/18,27/nov/18,28/nov/18,29/nov/18,30/nov/18,01/dic/18,02/dic/18,03/dic/18,04/dic/18,05/dic/18,06/dic/18,07/dic/18,08/dic/18,09/dic/18,10/dic/18,11/dic/18,12/dic/18,13/dic/18,14/dic/18,15/dic/18,16/dic/18,17/dic/18,18/dic/18,19/dic/18,20/dic/18,21/dic/18,22/dic/18,23/dic/18,24/dic/18,25/dic/18,26/dic/18,27/dic/18,28/dic/18,29/dic/18,30/dic/18,31/dic/18
Demanda,"574,637329","724,549044","753,204111","752,386801","724,096688","639,705663","672,06465","817,299975","854,74517","837,8049560000001","834,7097140000001","831,785061","760,6385230000001","708,6216189999999","835,1041160000001","833,3891580000001","817,515175","817,603332","812,5524340000001","725,927312","665,342898","776,9343610000001","792,2156620000001","795,267689","808,307013","820,23928","737,558974","684,397914","793,986634","811,803938","809,9021899999999","828,9938689999999","836,71501","755,6095600000001","719,5312439999999","852,3779420000001","864,736056","873,750902","880,070875","873,284436","774,761864","706,770018","833,3322659999999","852,668027","845,115172","818,9899889999999","799,33113","713,847709","670,06944","788,77486","796,9932120000001","802,817854","816,409034","822,010418","738,315463","682,057541","809,18641","854,244166","838,1637539999999","828,808564","828,4222460000001","718,198115","661,6924309999999","792,15792","808,969759","802,365201","795,959464","786,754305","695,131877","650,662602","768,123415","783,569196","792,974586","786,821055","779,1433000000001","712,2984799999999","660,909128","780,044318","830,948036","828,243998","816,8010370000001","814,750421","737,438894","647,1496999999999","775,540539","765,7652099999999","739,889331","657,9091119999999","617,090812","637,005171","602,215316","663,779182","738,282352","750,8071180000001","737,613924","742,671803","680,41586","627,282051","744,284834","787,841799","792,550109","782,939381","777,829895","684,5097659999999","629,483731","739,318027","739,507766","729,297495","720,948439","716,005351","646,179568","595,0702560000001","691,1494080000001","717,381862","724,5573149999999","720,400383","715,24892","640,8171639999999","592,217889","657,472785","595,259428","696,770116","726,9834549999999","727,900647","652,250936","594,583971","705,703787","722,71901","721,928421","721,917234","717,3994009999999","646,620272","596,053825","702,2878079999999","712,356306","723,164325","719,349822","716,4614200000001","645,615139","592,73499","689,203833","717,857076","727,970062","728,576654","722,23963","644,83027","591,7430159999999","702,764869","719,285425","714,527196","711,26198","709,5311899999999","639,5453669999999","585,011121","700,225761","720,4205919999999","718,51512","717,194956","718,521762","645,0045600000001","594,316025","708,892089","730,8282399999999","737,6362190000001","738,226291","737,410634","672,51237","623,6488860000001","744,574912","768,735621","781,677864","790,763917","792,862116","714,070971","656,341812","782,993168","803,4005629999999","802,356746","793,182687","778,647068","706,0777889999999","647,045444","762,83405","793,136627","788,164606","784,1709599999999","781,89296","708,618684","655,055667","800,602771","822,681663","816,712461","808,184004","801,059532","717,2721750000001","652,824574","770,5330110000001","800,3507410000001","809,583593","811,532012","801,5516160000001","705,939811","642,2336879999999","783,084655","809,659769","800,7983889999999","809,234407","805,06429","723,725986","662,1134050000001","782,765406","803,371281","829,902512","849,473769","858,593632","768,551915","710,960473","832,313622","836,089347","815,8369250000001","791,0670230000001","767,1963129999999","709,368422","667,332016","748,0509930000001","747,596502","668,157849","729,296235","718,847708","659,0319790000001","624,7640230000001","739,5072610000001","768,25701","778,103399","777,965294","773,349415","697,1448","643,379539","782,7188000000001","810,448212","806,2943710000001","803,963921","796,365517","715,322145","670,590343","790,769944","800,273143","793,541365","778,6132439999999","763,965091","669,149755","619,852256","725,662617","734,621067","778,1778320000001","784,509329","778,201265","684,200136","632,403926","759,809502","777,704848","784,4614799999999","790,7516909999999","784,51284","705,950057","654,5383860000001","776,098777","783,307403","776,59329","765,194306","755,478782","670,903495","617,464211","733,629113","736,946907","740,193367","742,064884","731,108037","656,265341","603,979963","700,5628","706,803991","721,067357","720,238147","620,4354109999999","622,5628419999999","596,303089","696,5587780000001","716,388299","723,752124","724,44485","715,107265","639,515312","593,179455","701,055332","717,889261","717,2827090000001","715,267861","716,585374","646,6048880000001","630,999672","744,335779","776,331825","772,179197","657,040183","698,895934","661,353336","629,521381","755,6152079999999","776,755251","775,7565139999999","777,488075","764,5518950000001","685,48765","628,671308","743,600436","753,421129","752,414487","750,390626","745,386462","667,009484","631,308683","750,865393","776,247365","781,660504","787,440373","781,396692","703,454736","656,2927659999999","779,6214279999999","796,219383","797,68488","800,2779250000001","788,560916","709,867704","658,914812","767,96928","774,493273","770,700385","676,3668299999999","707,3268780000001","660,856189","642,487243","767,366141","792,4636840000001","800,931996","811,190674","800,807102","720,2964529999999","675,981479","798,875276","822,742049","806,392973","796,7380860000001","772,837898","689,265354","648,5059669999999","647,899273","567,423103","672,883725","721,456089","722,3566069999999","674,033359","638,506177","655,1752369999999"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2018 - 31/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/04/2023 - 16:35:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
