value,percentage,datetime
574637.329,1,2018-01-01T00:00:00.000+01:00
724549.044,1,2018-01-02T00:00:00.000+01:00
753204.111,1,2018-01-03T00:00:00.000+01:00
752386.801,1,2018-01-04T00:00:00.000+01:00
724096.688,1,2018-01-05T00:00:00.000+01:00
639705.663,1,2018-01-06T00:00:00.000+01:00
672064.65,1,2018-01-07T00:00:00.000+01:00
817299.975,1,2018-01-08T00:00:00.000+01:00
854745.17,1,2018-01-09T00:00:00.000+01:00
837804.956,1,2018-01-10T00:00:00.000+01:00
834709.714,1,2018-01-11T00:00:00.000+01:00
831785.061,1,2018-01-12T00:00:00.000+01:00
760638.523,1,2018-01-13T00:00:00.000+01:00
708621.619,1,2018-01-14T00:00:00.000+01:00
835104.116,1,2018-01-15T00:00:00.000+01:00
833389.158,1,2018-01-16T00:00:00.000+01:00
817515.175,1,2018-01-17T00:00:00.000+01:00
817603.332,1,2018-01-18T00:00:00.000+01:00
812552.434,1,2018-01-19T00:00:00.000+01:00
725927.312,1,2018-01-20T00:00:00.000+01:00
665342.898,1,2018-01-21T00:00:00.000+01:00
776934.361,1,2018-01-22T00:00:00.000+01:00
792215.662,1,2018-01-23T00:00:00.000+01:00
795267.689,1,2018-01-24T00:00:00.000+01:00
808307.013,1,2018-01-25T00:00:00.000+01:00
820239.28,1,2018-01-26T00:00:00.000+01:00
737558.974,1,2018-01-27T00:00:00.000+01:00
684397.914,1,2018-01-28T00:00:00.000+01:00
793986.634,1,2018-01-29T00:00:00.000+01:00
811803.938,1,2018-01-30T00:00:00.000+01:00
809902.19,1,2018-01-31T00:00:00.000+01:00
828993.869,1,2018-02-01T00:00:00.000+01:00
836715.01,1,2018-02-02T00:00:00.000+01:00
755609.56,1,2018-02-03T00:00:00.000+01:00
719531.244,1,2018-02-04T00:00:00.000+01:00
852377.942,1,2018-02-05T00:00:00.000+01:00
864736.056,1,2018-02-06T00:00:00.000+01:00
873750.902,1,2018-02-07T00:00:00.000+01:00
880070.875,1,2018-02-08T00:00:00.000+01:00
873284.436,1,2018-02-09T00:00:00.000+01:00
774761.864,1,2018-02-10T00:00:00.000+01:00
706770.018,1,2018-02-11T00:00:00.000+01:00
833332.266,1,2018-02-12T00:00:00.000+01:00
852668.027,1,2018-02-13T00:00:00.000+01:00
845115.172,1,2018-02-14T00:00:00.000+01:00
818989.989,1,2018-02-15T00:00:00.000+01:00
799331.13,1,2018-02-16T00:00:00.000+01:00
713847.709,1,2018-02-17T00:00:00.000+01:00
670069.44,1,2018-02-18T00:00:00.000+01:00
788774.86,1,2018-02-19T00:00:00.000+01:00
796993.212,1,2018-02-20T00:00:00.000+01:00
802817.854,1,2018-02-21T00:00:00.000+01:00
816409.034,1,2018-02-22T00:00:00.000+01:00
822010.418,1,2018-02-23T00:00:00.000+01:00
738315.463,1,2018-02-24T00:00:00.000+01:00
682057.541,1,2018-02-25T00:00:00.000+01:00
809186.41,1,2018-02-26T00:00:00.000+01:00
854244.166,1,2018-02-27T00:00:00.000+01:00
838163.754,1,2018-02-28T00:00:00.000+01:00
828808.564,1,2018-03-01T00:00:00.000+01:00
828422.246,1,2018-03-02T00:00:00.000+01:00
