value,percentage,datetime
535144.786,1,2022-01-01T00:00:00.000+01:00
578855.186,1,2022-01-02T00:00:00.000+01:00
691970.774,1,2022-01-03T00:00:00.000+01:00
718047.874,1,2022-01-04T00:00:00.000+01:00
715070.234,1,2022-01-05T00:00:00.000+01:00
617936.351,1,2022-01-06T00:00:00.000+01:00
703004.57,1,2022-01-07T00:00:00.000+01:00
686615.314,1,2022-01-08T00:00:00.000+01:00
657099.904,1,2022-01-09T00:00:00.000+01:00
756621.212,1,2022-01-10T00:00:00.000+01:00
771711.078,1,2022-01-11T00:00:00.000+01:00
777310.213,1,2022-01-12T00:00:00.000+01:00
788572.283,1,2022-01-13T00:00:00.000+01:00
796150.956,1,2022-01-14T00:00:00.000+01:00
717164.143,1,2022-01-15T00:00:00.000+01:00
672381.068,1,2022-01-16T00:00:00.000+01:00
790794.183,1,2022-01-17T00:00:00.000+01:00
809453.033,1,2022-01-18T00:00:00.000+01:00
813885.767,1,2022-01-19T00:00:00.000+01:00
813841.104,1,2022-01-20T00:00:00.000+01:00
812933.383,1,2022-01-21T00:00:00.000+01:00
728531.886,1,2022-01-22T00:00:00.000+01:00
681487.178,1,2022-01-23T00:00:00.000+01:00
800222.601,1,2022-01-24T00:00:00.000+01:00
803957.158,1,2022-01-25T00:00:00.000+01:00
800205.701,1,2022-01-26T00:00:00.000+01:00
794878.473,1,2022-01-27T00:00:00.000+01:00
786143.822,1,2022-01-28T00:00:00.000+01:00
698969.016,1,2022-01-29T00:00:00.000+01:00
648503.898,1,2022-01-30T00:00:00.000+01:00
761832.783,1,2022-01-31T00:00:00.000+01:00
774260.763,1,2022-02-01T00:00:00.000+01:00
762494.554,1,2022-02-02T00:00:00.000+01:00
760780.897,1,2022-02-03T00:00:00.000+01:00
756896.641,1,2022-02-04T00:00:00.000+01:00
682674.839,1,2022-02-05T00:00:00.000+01:00
635247.08,1,2022-02-06T00:00:00.000+01:00
746724.421,1,2022-02-07T00:00:00.000+01:00
756678.724,1,2022-02-08T00:00:00.000+01:00
755748.252,1,2022-02-09T00:00:00.000+01:00
762082.393,1,2022-02-10T00:00:00.000+01:00
754633.793,1,2022-02-11T00:00:00.000+01:00
679947.691,1,2022-02-12T00:00:00.000+01:00
635776.528,1,2022-02-13T00:00:00.000+01:00
741719.03,1,2022-02-14T00:00:00.000+01:00
759124.039,1,2022-02-15T00:00:00.000+01:00
758265.98,1,2022-02-16T00:00:00.000+01:00
744050.02,1,2022-02-17T00:00:00.000+01:00
735427.048,1,2022-02-18T00:00:00.000+01:00
677992.558,1,2022-02-19T00:00:00.000+01:00
628491.111,1,2022-02-20T00:00:00.000+01:00
726597.17,1,2022-02-21T00:00:00.000+01:00
734120.281,1,2022-02-22T00:00:00.000+01:00
732237.567,1,2022-02-23T00:00:00.000+01:00
736907.737,1,2022-02-24T00:00:00.000+01:00
742820.885,1,2022-02-25T00:00:00.000+01:00
670693.047,1,2022-02-26T00:00:00.000+01:00
618013.898,1,2022-02-27T00:00:00.000+01:00
697748.424,1,2022-02-28T00:00:00.000+01:00
722388.816,1,2022-03-01T00:00:00.000+01:00
735557.669,1,2022-03-02T00:00:00.000+01:00
742633.023,1,2022-03-03T00:00:00.000+01:00
743234.649,1,2022-03-04T00:00:00.000+01:00
660643.502,1,2022-03-05T00:00:00.000+01:00
