Título,evolucion_01-01-2019_31-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/ene/19,02/ene/19,03/ene/19,04/ene/19,05/ene/19,06/ene/19,07/ene/19,08/ene/19,09/ene/19,10/ene/19,11/ene/19,12/ene/19,13/ene/19,14/ene/19,15/ene/19,16/ene/19,17/ene/19,18/ene/19,19/ene/19,20/ene/19,21/ene/19,22/ene/19,23/ene/19,24/ene/19,25/ene/19,26/ene/19,27/ene/19,28/ene/19,29/ene/19,30/ene/19,31/ene/19,01/feb/19,02/feb/19,03/feb/19,04/feb/19,05/feb/19,06/feb/19,07/feb/19,08/feb/19,09/feb/19,10/feb/19,11/feb/19,12/feb/19,13/feb/19,14/feb/19,15/feb/19,16/feb/19,17/feb/19,18/feb/19,19/feb/19,20/feb/19,21/feb/19,22/feb/19,23/feb/19,24/feb/19,25/feb/19,26/feb/19,27/feb/19,28/feb/19,01/mar/19,02/mar/19,03/mar/19,04/mar/19,05/mar/19,06/mar/19,07/mar/19,08/mar/19,09/mar/19,10/mar/19,11/mar/19,12/mar/19,13/mar/19,14/mar/19,15/mar/19,16/mar/19,17/mar/19,18/mar/19,19/mar/19,20/mar/19,21/mar/19,22/mar/19,23/mar/19,24/mar/19,25/mar/19,26/mar/19,27/mar/19,28/mar/19,29/mar/19,30/mar/19,31/mar/19,01/abr/19,02/abr/19,03/abr/19,04/abr/19,05/abr/19,06/abr/19,07/abr/19,08/abr/19,09/abr/19,10/abr/19,11/abr/19,12/abr/19,13/abr/19,14/abr/19,15/abr/19,16/abr/19,17/abr/19,18/abr/19,19/abr/19,20/abr/19,21/abr/19,22/abr/19,23/abr/19,24/abr/19,25/abr/19,26/abr/19,27/abr/19,28/abr/19,29/abr/19,30/abr/19,01/may/19,02/may/19,03/may/19,04/may/19,05/may/19,06/may/19,07/may/19,08/may/19,09/may/19,10/may/19,11/may/19,12/may/19,13/may/19,14/may/19,15/may/19,16/may/19,17/may/19,18/may/19,19/may/19,20/may/19,21/may/19,22/may/19,23/may/19,24/may/19,25/may/19,26/may/19,27/may/19,28/may/19,29/may/19,30/may/19,31/may/19,01/jun/19,02/jun/19,03/jun/19,04/jun/19,05/jun/19,06/jun/19,07/jun/19,08/jun/19,09/jun/19,10/jun/19,11/jun/19,12/jun/19,13/jun/19,14/jun/19,15/jun/19,16/jun/19,17/jun/19,18/jun/19,19/jun/19,20/jun/19,21/jun/19,22/jun/19,23/jun/19,24/jun/19,25/jun/19,26/jun/19,27/jun/19,28/jun/19,29/jun/19,30/jun/19,01/jul/19,02/jul/19,03/jul/19,04/jul/19,05/jul/19,06/jul/19,07/jul/19,08/jul/19,09/jul/19,10/jul/19,11/jul/19,12/jul/19,13/jul/19,14/jul/19,15/jul/19,16/jul/19,17/jul/19,18/jul/19,19/jul/19,20/jul/19,21/jul/19,22/jul/19,23/jul/19,24/jul/19,25/jul/19,26/jul/19,27/jul/19,28/jul/19,29/jul/19,30/jul/19,31/jul/19,01/ago/19,02/ago/19,03/ago/19,04/ago/19,05/ago/19,06/ago/19,07/ago/19,08/ago/19,09/ago/19,10/ago/19,11/ago/19,12/ago/19,13/ago/19,14/ago/19,15/ago/19,16/ago/19,17/ago/19,18/ago/19,19/ago/19,20/ago/19,21/ago/19,22/ago/19,23/ago/19,24/ago/19,25/ago/19,26/ago/19,27/ago/19,28/ago/19,29/ago/19,30/ago/19,31/ago/19,01/sep/19,02/sep/19,03/sep/19,04/sep/19,05/sep/19,06/sep/19,07/sep/19,08/sep/19,09/sep/19,10/sep/19,11/sep/19,12/sep/19,13/sep/19,14/sep/19,15/sep/19,16/sep/19,17/sep/19,18/sep/19,19/sep/19,20/sep/19,21/sep/19,22/sep/19,23/sep/19,24/sep/19,25/sep/19,26/sep/19,27/sep/19,28/sep/19,29/sep/19,30/sep/19,01/oct/19,02/oct/19,03/oct/19,04/oct/19,05/oct/19,06/oct/19,07/oct/19,08/oct/19,09/oct/19,10/oct/19,11/oct/19,12/oct/19,13/oct/19,14/oct/19,15/oct/19,16/oct/19,17/oct/19,18/oct/19,19/oct/19,20/oct/19,21/oct/19,22/oct/19,23/oct/19,24/oct/19,25/oct/19,26/oct/19,27/oct/19,28/oct/19,29/oct/19,30/oct/19,31/oct/19,01/nov/19,02/nov/19,03/nov/19,04/nov/19,05/nov/19,06/nov/19,07/nov/19,08/nov/19,09/nov/19,10/nov/19,11/nov/19,12/nov/19,13/nov/19,14/nov/19,15/nov/19,16/nov/19,17/nov/19,18/nov/19,19/nov/19,20/nov/19,21/nov/19,22/nov/19,23/nov/19,24/nov/19,25/nov/19,26/nov/19,27/nov/19,28/nov/19,29/nov/19,30/nov/19,01/dic/19,02/dic/19,03/dic/19,04/dic/19,05/dic/19,06/dic/19,07/dic/19,08/dic/19,09/dic/19,10/dic/19,11/dic/19,12/dic/19,13/dic/19,14/dic/19,15/dic/19,16/dic/19,17/dic/19,18/dic/19,19/dic/19,20/dic/19,21/dic/19,22/dic/19,23/dic/19,24/dic/19,25/dic/19,26/dic/19,27/dic/19,28/dic/19,29/dic/19,30/dic/19,31/dic/19
Demanda,"582,949806","742,199407","787,764963","796,010035","721,029651","661,772168","764,920771","844,559085","846,151453","857,323124","867,1818860000001","775,1707120000001","722,271171","835,75236","846,245527","847,9118179999999","849,875833","848,7819420000001","766,5377199999999","705,583355","828,406838","864,8553029999999","854,462174","837,075708","815,349834","724,205323","678,249362","807,644379","832,6166119999999","829,785386","823,510841","811,4083569999999","739,149442","696,029792","827,865952","826,264446","813,527159","805,445154","799,019676","719,4038390000001","672,445604","781,692422","799,138409","797,8390459999999","794,2991380000001","790,637803","706,4874159999999","656,688443","779,646845","789,997493","785,6312680000001","781,135556","771,083106","689,1758199999999","637,4526040000001","750,831906","759,6974749999999","756,32491","742,210124","747,742259","670,2429960000001","621,4451949999999","729,81428","745,1641099999999","767,457592","758,1783029999999","748,5687909999999","671,315341","617,758559","726,4542879999999","743,155047","753,372783","753,975948","738,753829","660,072282","610,229793","708,1163889999999","707,250357","755,634542","758,9317219999999","749,138108","669,633017","611,819827","717,0738190000001","732,3950450000001","735,3143419999999","736,120156","733,687593","661,273331","595,4559919999999","728,854039","740,720312","743,726231","746,5321319999999","758,884449","683,345822","635,7432580000001","745,947421","762,514952","759,373018","754,5935770000001","737,503833","658,751444","606,7151709999999","705,6519440000001","712,912968","706,8961820000001","633,6451629999999","584,9293100000001","598,281137","575,850979","622,892917","691,440392","737,862824","739,9479660000001","722,3515749999999","641,47676","580,03458","681,641153","693,18814","588,783574","674,320005","696,474728","634,76562","585,505022","691,903437","715,282519","720,383459","719,680488","714,705845","642,893955","589,0662070000001","693,1943419999999","716,08591","714,403802","723,608482","708,065687","633,5816629999999","588,760853","693,2661509999999","712,267526","720,423021","721,032652","717,6893419999999","641,7133699999999","586,295917","703,430222","723,7896139999999","722,528761","719,643509","720,746446","657,113804","610,135227","727,199819","743,803929","728,013427","718,987495","716,146113","649,114105","598,266091","692,985625","717,613036","721,685017","725,1397099999999","720,6987389999999","649,826641","600,853162","714,625455","736,896725","741,912133","735,4882709999999","732,798844","672,993652","623,379646","688,002526","765,220281","792,83245","807,8750110000001","821,1525429999999","751,7245350000001","696,474637","805,062314","817,750686","814,766368","813,934525","816,024974","738,401275","686,379684","783,297789","782,095233","792,718173","821,250349","828,8768249999999","739,0652249999999","667,289338","796,026561","810,2570770000001","805,414836","808,118682","818,254951","744,167851","691,903017","836,08036","857,696956","860,19127","835,226076","809,646945","705,760649","639,0524129999999","759,984776","773,820297","765,475695","789,3342739999999","784,3893889999999","706,0687839999999","659,3744620000001","772,3475","793,04482","787,712421","795,6389869999999","795,454697","716,321021","651,8926260000001","712,385398","713,398323","722,738208","661,417317","715,896427","692,63836","652,155441","750,065106","750,474293","743,508569","746,785396","746,320647","685,6859669999999","640,3826","753,0021800000001","748,334103","759,403981","778,170266","782,463034","704,124582","658,2754649999999","772,035659","796,4925039999999","802,739777","785,233792","759,835407","677,23725","625,559392","725,543137","731,011426","699,252213","720,175206","710,999404","639,59483","600,8046509999999","722,110774","745,327536","749,4393100000001","750,409372","742,546066","662,31373","606,999498","708,014904","727,7302530000001","738,028712","739,145522","734,426657","653,6734939999999","597,6436339999999","715,11243","741,441646","733,752221","722,404634","719,06066","639,96626","595,82223","706,81127","729,654451","718,306304","725,766274","717,3422240000001","624,559893","591,908756","708,9723909999999","707,9474690000001","711,483129","712,870909","702,013343","638,521461","590,245061","698,011851","728,673757","731,4623290000001","729,548927","721,0047149999999","639,527818","617,8978510000001","705,517424","720,759167","716,813201","706,779544","610,338583","613,091302","585,745923","701,349067","723,9212249999999","726,803046","738,90463","747,0951","674,799054","628,624931","757,559515","773,524257","776,833483","794,537245","794,400091","712,515929","673,2166110000001","784,186573","810,1541060000001","821,5763029999999","815,715186","812,859646","706,596572","657,967591","774,027534","785,754366","774,548693","776,056195","758,247169","686,811005","649,0308190000001","776,1569529999999","794,0714429999999","802,721404","797,187595","687,010235","677,7451060000001","653,010122","731,497032","794,421564","810,110768","825,12176","793,677004","703,955843","660,219604","780,2950699999999","786,9450870000001","792,257443","793,7284790000001","757,48361","666,815843","621,188286","675,581844","622,14762","541,452518","632,220615","674,1504719999999","646,963129","617,2651920000001","689,973969","656,5143029999999"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2019 - 31/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/04/2023 - 16:34:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
