Título,evolucion_01-01-2021_31-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/ene/21,02/ene/21,03/ene/21,04/ene/21,05/ene/21,06/ene/21,07/ene/21,08/ene/21,09/ene/21,10/ene/21,11/ene/21,12/ene/21,13/ene/21,14/ene/21,15/ene/21,16/ene/21,17/ene/21,18/ene/21,19/ene/21,20/ene/21,21/ene/21,22/ene/21,23/ene/21,24/ene/21,25/ene/21,26/ene/21,27/ene/21,28/ene/21,29/ene/21,30/ene/21,31/ene/21,01/feb/21,02/feb/21,03/feb/21,04/feb/21,05/feb/21,06/feb/21,07/feb/21,08/feb/21,09/feb/21,10/feb/21,11/feb/21,12/feb/21,13/feb/21,14/feb/21,15/feb/21,16/feb/21,17/feb/21,18/feb/21,19/feb/21,20/feb/21,21/feb/21,22/feb/21,23/feb/21,24/feb/21,25/feb/21,26/feb/21,27/feb/21,28/feb/21,01/mar/21,02/mar/21,03/mar/21,04/mar/21,05/mar/21,06/mar/21,07/mar/21,08/mar/21,09/mar/21,10/mar/21,11/mar/21,12/mar/21,13/mar/21,14/mar/21,15/mar/21,16/mar/21,17/mar/21,18/mar/21,19/mar/21,20/mar/21,21/mar/21,22/mar/21,23/mar/21,24/mar/21,25/mar/21,26/mar/21,27/mar/21,28/mar/21,29/mar/21,30/mar/21,31/mar/21,01/abr/21,02/abr/21,03/abr/21,04/abr/21,05/abr/21,06/abr/21,07/abr/21,08/abr/21,09/abr/21,10/abr/21,11/abr/21,12/abr/21,13/abr/21,14/abr/21,15/abr/21,16/abr/21,17/abr/21,18/abr/21,19/abr/21,20/abr/21,21/abr/21,22/abr/21,23/abr/21,24/abr/21,25/abr/21,26/abr/21,27/abr/21,28/abr/21,29/abr/21,30/abr/21,01/may/21,02/may/21,03/may/21,04/may/21,05/may/21,06/may/21,07/may/21,08/may/21,09/may/21,10/may/21,11/may/21,12/may/21,13/may/21,14/may/21,15/may/21,16/may/21,17/may/21,18/may/21,19/may/21,20/may/21,21/may/21,22/may/21,23/may/21,24/may/21,25/may/21,26/may/21,27/may/21,28/may/21,29/may/21,30/may/21,31/may/21,01/jun/21,02/jun/21,03/jun/21,04/jun/21,05/jun/21,06/jun/21,07/jun/21,08/jun/21,09/jun/21,10/jun/21,11/jun/21,12/jun/21,13/jun/21,14/jun/21,15/jun/21,16/jun/21,17/jun/21,18/jun/21,19/jun/21,20/jun/21,21/jun/21,22/jun/21,23/jun/21,24/jun/21,25/jun/21,26/jun/21,27/jun/21,28/jun/21,29/jun/21,30/jun/21,01/jul/21,02/jul/21,03/jul/21,04/jul/21,05/jul/21,06/jul/21,07/jul/21,08/jul/21,09/jul/21,10/jul/21,11/jul/21,12/jul/21,13/jul/21,14/jul/21,15/jul/21,16/jul/21,17/jul/21,18/jul/21,19/jul/21,20/jul/21,21/jul/21,22/jul/21,23/jul/21,24/jul/21,25/jul/21,26/jul/21,27/jul/21,28/jul/21,29/jul/21,30/jul/21,31/jul/21,01/ago/21,02/ago/21,03/ago/21,04/ago/21,05/ago/21,06/ago/21,07/ago/21,08/ago/21,09/ago/21,10/ago/21,11/ago/21,12/ago/21,13/ago/21,14/ago/21,15/ago/21,16/ago/21,17/ago/21,18/ago/21,19/ago/21,20/ago/21,21/ago/21,22/ago/21,23/ago/21,24/ago/21,25/ago/21,26/ago/21,27/ago/21,28/ago/21,29/ago/21,30/ago/21,31/ago/21,01/sep/21,02/sep/21,03/sep/21,04/sep/21,05/sep/21,06/sep/21,07/sep/21,08/sep/21,09/sep/21,10/sep/21,11/sep/21,12/sep/21,13/sep/21,14/sep/21,15/sep/21,16/sep/21,17/sep/21,18/sep/21,19/sep/21,20/sep/21,21/sep/21,22/sep/21,23/sep/21,24/sep/21,25/sep/21,26/sep/21,27/sep/21,28/sep/21,29/sep/21,30/sep/21,01/oct/21,02/oct/21,03/oct/21,04/oct/21,05/oct/21,06/oct/21,07/oct/21,08/oct/21,09/oct/21,10/oct/21,11/oct/21,12/oct/21,13/oct/21,14/oct/21,15/oct/21,16/oct/21,17/oct/21,18/oct/21,19/oct/21,20/oct/21,21/oct/21,22/oct/21,23/oct/21,24/oct/21,25/oct/21,26/oct/21,27/oct/21,28/oct/21,29/oct/21,30/oct/21,31/oct/21,01/nov/21,02/nov/21,03/nov/21,04/nov/21,05/nov/21,06/nov/21,07/nov/21,08/nov/21,09/nov/21,10/nov/21,11/nov/21,12/nov/21,13/nov/21,14/nov/21,15/nov/21,16/nov/21,17/nov/21,18/nov/21,19/nov/21,20/nov/21,21/nov/21,22/nov/21,23/nov/21,24/nov/21,25/nov/21,26/nov/21,27/nov/21,28/nov/21,29/nov/21,30/nov/21,01/dic/21,02/dic/21,03/dic/21,04/dic/21,05/dic/21,06/dic/21,07/dic/21,08/dic/21,09/dic/21,10/dic/21,11/dic/21,12/dic/21,13/dic/21,14/dic/21,15/dic/21,16/dic/21,17/dic/21,18/dic/21,19/dic/21,20/dic/21,21/dic/21,22/dic/21,23/dic/21,24/dic/21,25/dic/21,26/dic/21,27/dic/21,28/dic/21,29/dic/21,30/dic/21,31/dic/21
Demanda,"608,715931","680,432407","684,489215","793,625993","806,5881559999999","700,1445640000001","854,323166","872,357353","773,2969790000001","735,647962","851,740825","875,118684","874,914272","873,57723","859,3557950000001","765,002342","708,974301","827,619581","846,116609","850,299079","817,647661","794,514658","719,5108290000001","655,028547","775,155263","770,7961019999999","753,3216199999999","744,101186","733,183947","672,206563","631,678074","725,30841","742,016165","744,032692","742,410917","742,180511","673,2028889999999","635,1844279999999","757,811118","789,35766","767,889956","757,9492240000001","744,94486","664,031439","627,37764","743,811335","751,44691","752,695056","754,962027","749,031191","667,7854","636,8204020000001","743,3179620000001","750,925914","747,390312","744,8102719999999","740,0174790000001","664,2755649999999","621,167542","730,802101","749,835836","744,167225","740,268037","735,72458","658,451851","622,68566","742,93638","758,3525189999999","750,796647","739,481269","729,092448","646,3014969999999","606,5404120000001","719,293522","732,0050259999999","729,775728","741,473221","706,043651","670,4976409999999","630,102703","735,080366","739,4374250000001","731,621692","726,346417","719,331777","648,466535","571,635074","691,559272","695,256722","679,6876530000001","603,780936","558,137662","577,877662","551,346366","604,0439250000001","678,9370620000001","706,832348","711,274992","713,789777","641,31352","594,071686","692,941728","717,396928","716,6541850000001","722,2387090000001","713,5832730000001","642,86534","593,2931169999999","697,833818","709,788735","710,848815","713,242666","685,3986779999999","620,321236","584,849257","689,249537","703,09256","698,342061","697,91872","688,9565259999999","577,472256","559,173805","667,365198","689,998019","690,6510999999999","689,028329","681,3994270000001","612,800041","573,950672","672,5174860000001","690,260839","696,396062","695,282254","688,397416","622,8635969999999","580,57779","668,87806","696,787021","698,169314","697,758698","691,966356","621,6332020000001","574,18028","659,025584","687,45259","692,3381430000001","694,593137","687,21766","625,581869","579,605519","683,32724","696,048627","700,505017","698,600649","692,965661","622,988965","576,7397129999999","687,687127","719,311181","727,9984790000001","739,161249","732,773334","663,407333","616,20506","737,903439","759,440415","755,302693","732,968196","720,62028","646,908276","594,4443299999999","695,3108100000001","710,3957419999999","701,339201","667,378472","694,493443","651,12108","606,935474","706,509225","727,913028","744,980042","745,6468229999999","751,0719399999999","686,746086","645,1977870000001","756,482667","765,5216069999999","749,498243","743,139951","749,3615159999999","698,499464","662,579088","763,113617","739,886353","742,631422","749,381936","755,7868020000001","703,58958","657,129066","770,181187","786,064039","796,392983","807,661031","801,290966","708,875188","647,414033","741,7888519999999","764,664988","777,471567","786,049111","780,535725","688,6021430000001","610,030071","692,2965389999999","716,478894","726,92959","737,222091","733,401456","676,412684","615,00122","688,277519","712,411101","735,9656650000001","755,611095","762,760446","734,160936","692,7508780000001","734,676191","734,157383","729,6624889999999","723,091039","723,16805","680,1778850000001","642,5478860000001","740,216309","749,61014","738,207487","746,460103","752,000087","680,131728","625,714882","722,450384","747,811051","746,405192","733,2948279999999","731,068102","661,105572","625,9475060000001","750,941319","778,331589","758,832979","759,765067","743,10971","664,0345189999999","624,4711729999999","730,599845","744,88997","740,6555960000001","726,396632","714,163921","639,4929000000001","588,0682780000001","692,113328","696,7757369999999","701,743975","704,5458140000001","697,179551","631,054818","582,860409","686,152044","706,3054549999999","710,1123980000001","702,537831","692,944543","630,287998","585,69262","665,592111","681,2847539999999","695,359374","689,344379","685,1098129999999","612,730729","568,730598","615,6411850000001","577,417811","668,727443","682,5967589999999","681,763233","616,067047","573,616151","675,467776","692,280722","693,103655","688,4803149999999","682,264745","612,0187090000001","571,138872","670,783825","692,31942","689,359293","691,1472650000001","692,264935","626,694705","597,2471859999999","576,3677439999999","674,854716","695,2352659999999","705,890141","717,19316","655,441422","616,104014","716,917625","728,0031339999999","737,414445","738,439482","731,746944","652,720566","612,965856","725,7026800000001","748,837812","753,6891069999999","755,571919","746,4489120000001","674,480947","622,5045670000001","744,436995","774,690327","786,755043","787,163875","781,000985","716,586063","685,695321","782,1279549999999","788,505669","797,141836","800,1944350000001","790,8114969999999","711,448518","660,5806650000001","667,1958460000001","710,588895","684,008281","782,066188","776,257295","692,242959","644,6789640000001","758,492556","783,3417360000001","787,1938739999999","792,100159","783,162446","706,20551","660,6288619999999","771,478461","772,523695","757,320524","729,0895019999999","637,631538","547,513015","582,595459","657,559283","663,701614","657,200732","653,6023730000001","611,387919"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2021 - 31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/04/2023 - 16:30:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
