value,percentage,datetime
549334.251,1,2016-01-01T00:00:00.000+01:00
614370.924,1,2016-01-02T00:00:00.000+01:00
619728.026,1,2016-01-03T00:00:00.000+01:00
704966.605,1,2016-01-04T00:00:00.000+01:00
701386.909,1,2016-01-05T00:00:00.000+01:00
619994.074,1,2016-01-06T00:00:00.000+01:00
749294.848,1,2016-01-07T00:00:00.000+01:00
750160.278,1,2016-01-08T00:00:00.000+01:00
685100.337,1,2016-01-09T00:00:00.000+01:00
648714.619,1,2016-01-10T00:00:00.000+01:00
761504.75,1,2016-01-11T00:00:00.000+01:00
778891.307,1,2016-01-12T00:00:00.000+01:00
795087.713,1,2016-01-13T00:00:00.000+01:00
802427.396,1,2016-01-14T00:00:00.000+01:00
796846.21,1,2016-01-15T00:00:00.000+01:00
726141.03,1,2016-01-16T00:00:00.000+01:00
690103.083,1,2016-01-17T00:00:00.000+01:00
809652.278,1,2016-01-18T00:00:00.000+01:00
817453.121,1,2016-01-19T00:00:00.000+01:00
812592.743,1,2016-01-20T00:00:00.000+01:00
810913.591,1,2016-01-21T00:00:00.000+01:00
797248.912,1,2016-01-22T00:00:00.000+01:00
704774.445,1,2016-01-23T00:00:00.000+01:00
649539.394,1,2016-01-24T00:00:00.000+01:00
764530.819,1,2016-01-25T00:00:00.000+01:00
783129.126,1,2016-01-26T00:00:00.000+01:00
782454.402,1,2016-01-27T00:00:00.000+01:00
781220.285,1,2016-01-28T00:00:00.000+01:00
776149.051,1,2016-01-29T00:00:00.000+01:00
701070.736,1,2016-01-30T00:00:00.000+01:00
648243.321,1,2016-01-31T00:00:00.000+01:00
755604.833,1,2016-02-01T00:00:00.000+01:00
771162.157,1,2016-02-02T00:00:00.000+01:00
774920.755,1,2016-02-03T00:00:00.000+01:00
779636.335,1,2016-02-04T00:00:00.000+01:00
778440.4,1,2016-02-05T00:00:00.000+01:00
708475.865,1,2016-02-06T00:00:00.000+01:00
654892.273,1,2016-02-07T00:00:00.000+01:00
764576.899,1,2016-02-08T00:00:00.000+01:00
776296.4,1,2016-02-09T00:00:00.000+01:00
779057.216,1,2016-02-10T00:00:00.000+01:00
770145.265,1,2016-02-11T00:00:00.000+01:00
772155.474,1,2016-02-12T00:00:00.000+01:00
694719.829,1,2016-02-13T00:00:00.000+01:00
648984.261,1,2016-02-14T00:00:00.000+01:00
783874.49,1,2016-02-15T00:00:00.000+01:00
804822.875,1,2016-02-16T00:00:00.000+01:00
819617.781,1,2016-02-17T00:00:00.000+01:00
823891.322,1,2016-02-18T00:00:00.000+01:00
809709.545,1,2016-02-19T00:00:00.000+01:00
719890.582,1,2016-02-20T00:00:00.000+01:00
661995.391,1,2016-02-21T00:00:00.000+01:00
769236.13,1,2016-02-22T00:00:00.000+01:00
775844.287,1,2016-02-23T00:00:00.000+01:00
782909.849,1,2016-02-24T00:00:00.000+01:00
773022.654,1,2016-02-25T00:00:00.000+01:00
787433.867,1,2016-02-26T00:00:00.000+01:00
730652.05,1,2016-02-27T00:00:00.000+01:00
671872.845,1,2016-02-28T00:00:00.000+01:00
766564.788,1,2016-02-29T00:00:00.000+01:00
782435.271,1,2016-03-01T00:00:00.000+01:00
780440.745,1,2016-03-02T00:00:00.000+01:00
776053.071,1,2016-03-03T00:00:00.000+01:00
776287.283,1,2016-03-04T00:00:00.000+01:00
701814.836,1,2016-03-05T00:00:00.000+01:00
657322.151,1,2016-03-06T00:00:00.000+01:00
797057.198,1,2016-03-07T00:00:00.000+01:00
800620.964,1,2016-03-08T00:00:00.000+01:00
813456.131,1,2016-03-09T00:00:00.000+01:00
806943.774,1,2016-03-10T00:00:00.000+01:00
790478.931,1,2016-03-11T00:00:00.000+01:00
707083.567,1,2016-03-12T00:00:00.000+01:00
655003.476,1,2016-03-13T00:00:00.000+01:00
780217.235,1,2016-03-14T00:00:00.000+01:00
792756.102,1,2016-03-15T00:00:00.000+01:00
788127.677,1,2016-03-16T00:00:00.000+01:00
785951.92,1,2016-03-17T00:00:00.000+01:00
776984.922,1,2016-03-18T00:00:00.000+01:00
695002.995,1,2016-03-19T00:00:00.000+01:00
644667.695,1,2016-03-20T00:00:00.000+01:00
758215.411,1,2016-03-21T00:00:00.000+01:00
758874.659,1,2016-03-22T00:00:00.000+01:00
742133.988,1,2016-03-23T00:00:00.000+01:00
645171.744,1,2016-03-24T00:00:00.000+01:00
601008.215,1,2016-03-25T00:00:00.000+01:00
622066.484,1,2016-03-26T00:00:00.000+01:00
563666.749,1,2016-03-27T00:00:00.000+01:00
