value,percentage,datetime
598777.485,1,2017-01-01T00:00:00.000+01:00
737399.953,1,2017-01-02T00:00:00.000+01:00
790181.976,1,2017-01-03T00:00:00.000+01:00
787400.021,1,2017-01-04T00:00:00.000+01:00
755093.902,1,2017-01-05T00:00:00.000+01:00
647771.64,1,2017-01-06T00:00:00.000+01:00
705200.674,1,2017-01-07T00:00:00.000+01:00
694080.263,1,2017-01-08T00:00:00.000+01:00
821910.33,1,2017-01-09T00:00:00.000+01:00
846224.728,1,2017-01-10T00:00:00.000+01:00
824245.639,1,2017-01-11T00:00:00.000+01:00
815386.868,1,2017-01-12T00:00:00.000+01:00
811110.239,1,2017-01-13T00:00:00.000+01:00
747715.593,1,2017-01-14T00:00:00.000+01:00
703889.662,1,2017-01-15T00:00:00.000+01:00
824373.113,1,2017-01-16T00:00:00.000+01:00
847797.77,1,2017-01-17T00:00:00.000+01:00
884984.52,1,2017-01-18T00:00:00.000+01:00
888001.932,1,2017-01-19T00:00:00.000+01:00
866315.684,1,2017-01-20T00:00:00.000+01:00
770045.766,1,2017-01-21T00:00:00.000+01:00
712918.725,1,2017-01-22T00:00:00.000+01:00
836812.562,1,2017-01-23T00:00:00.000+01:00
843533.481,1,2017-01-24T00:00:00.000+01:00
848770.002,1,2017-01-25T00:00:00.000+01:00
856403.657,1,2017-01-26T00:00:00.000+01:00
842428.081,1,2017-01-27T00:00:00.000+01:00
743673.98,1,2017-01-28T00:00:00.000+01:00
689587.651,1,2017-01-29T00:00:00.000+01:00
798149.713,1,2017-01-30T00:00:00.000+01:00
798037.782,1,2017-01-31T00:00:00.000+01:00
796445.506,1,2017-02-01T00:00:00.000+01:00
800036.205,1,2017-02-02T00:00:00.000+01:00
789355.647,1,2017-02-03T00:00:00.000+01:00
706102.119,1,2017-02-04T00:00:00.000+01:00
659565.875,1,2017-02-05T00:00:00.000+01:00
777153.624,1,2017-02-06T00:00:00.000+01:00
783937.826,1,2017-02-07T00:00:00.000+01:00
793018.604,1,2017-02-08T00:00:00.000+01:00
801543.878,1,2017-02-09T00:00:00.000+01:00
810352.774,1,2017-02-10T00:00:00.000+01:00
736084.836,1,2017-02-11T00:00:00.000+01:00
678862.766,1,2017-02-12T00:00:00.000+01:00
785841.799,1,2017-02-13T00:00:00.000+01:00
788796.954,1,2017-02-14T00:00:00.000+01:00
775997.157,1,2017-02-15T00:00:00.000+01:00
778586.428,1,2017-02-16T00:00:00.000+01:00
772198.016,1,2017-02-17T00:00:00.000+01:00
701068.722,1,2017-02-18T00:00:00.000+01:00
650002.868,1,2017-02-19T00:00:00.000+01:00
763104.063,1,2017-02-20T00:00:00.000+01:00
773555.684,1,2017-02-21T00:00:00.000+01:00
769927.659,1,2017-02-22T00:00:00.000+01:00
774783.049,1,2017-02-23T00:00:00.000+01:00
768733.485,1,2017-02-24T00:00:00.000+01:00
689257.508,1,2017-02-25T00:00:00.000+01:00
639555.818,1,2017-02-26T00:00:00.000+01:00
741530.72,1,2017-02-27T00:00:00.000+01:00
746053.565,1,2017-02-28T00:00:00.000+01:00
759946.768,1,2017-03-01T00:00:00.000+01:00
763569.898,1,2017-03-02T00:00:00.000+01:00
774329.746,1,2017-03-03T00:00:00.000+01:00
706427.594,1,2017-03-04T00:00:00.000+01:00
650806.971,1,2017-03-05T00:00:00.000+01:00
742278.676,1,2017-03-06T00:00:00.000+01:00
750454.903,1,2017-03-07T00:00:00.000+01:00
738763.446,1,2017-03-08T00:00:00.000+01:00
733773.192,1,2017-03-09T00:00:00.000+01:00
722061.344,1,2017-03-10T00:00:00.000+01:00
646815.723,1,2017-03-11T00:00:00.000+01:00
603914.043,1,2017-03-12T00:00:00.000+01:00
738362.394,1,2017-03-13T00:00:00.000+01:00
751881.092,1,2017-03-14T00:00:00.000+01:00
737002.077,1,2017-03-15T00:00:00.000+01:00
733165.208,1,2017-03-16T00:00:00.000+01:00
725396.333,1,2017-03-17T00:00:00.000+01:00
647495.696,1,2017-03-18T00:00:00.000+01:00
596769.468,1,2017-03-19T00:00:00.000+01:00
696202.895,1,2017-03-20T00:00:00.000+01:00
735184.495,1,2017-03-21T00:00:00.000+01:00
752498.769,1,2017-03-22T00:00:00.000+01:00
765141.794,1,2017-03-23T00:00:00.000+01:00
777112.401,1,2017-03-24T00:00:00.000+01:00
702109.452,1,2017-03-25T00:00:00.000+01:00
615279.047,1,2017-03-26T00:00:00.000+01:00
752452.857,1,2017-03-27T00:00:00.000+02:00
749190.56,1,2017-03-28T00:00:00.000+02:00
740480.155,1,2017-03-29T00:00:00.000+02:00
730169.661,1,2017-03-30T00:00:00.000+02:00
726136.892,1,2017-03-31T00:00:00.000+02:00
660366.042,1,2017-04-01T00:00:00.000+02:00
612970.34,1,2017-04-02T00:00:00.000+02:00
717886.98,1,2017-04-03T00:00:00.000+02:00
731511.346,1,2017-04-04T00:00:00.000+02:00
729483.28,1,2017-04-05T00:00:00.000+02:00
726582.898,1,2017-04-06T00:00:00.000+02:00
720099.808,1,2017-04-07T00:00:00.000+02:00
651738.634,1,2017-04-08T00:00:00.000+02:00
597656.302,1,2017-04-09T00:00:00.000+02:00
695538.758,1,2017-04-10T00:00:00.000+02:00
707219.894,1,2017-04-11T00:00:00.000+02:00
694467.17,1,2017-04-12T00:00:00.000+02:00
605880.528,1,2017-04-13T00:00:00.000+02:00
559752.619,1,2017-04-14T00:00:00.000+02:00
590162.907,1,2017-04-15T00:00:00.000+02:00
559525.843,1,2017-04-16T00:00:00.000+02:00
616373.08,1,2017-04-17T00:00:00.000+02:00
696190.048,1,2017-04-18T00:00:00.000+02:00
716827.223,1,2017-04-19T00:00:00.000+02:00
715778.602,1,2017-04-20T00:00:00.000+02:00
713856.583,1,2017-04-21T00:00:00.000+02:00
648300.654,1,2017-04-22T00:00:00.000+02:00
593441.183,1,2017-04-23T00:00:00.000+02:00
679709.918,1,2017-04-24T00:00:00.000+02:00
718206.582,1,2017-04-25T00:00:00.000+02:00
727071.917,1,2017-04-26T00:00:00.000+02:00
736488.013,1,2017-04-27T00:00:00.000+02:00
731294.805,1,2017-04-28T00:00:00.000+02:00
657607.178,1,2017-04-29T00:00:00.000+02:00
601945.005,1,2017-04-30T00:00:00.000+02:00
576647.958,1,2017-05-01T00:00:00.000+02:00
684555.249,1,2017-05-02T00:00:00.000+02:00
716650.525,1,2017-05-03T00:00:00.000+02:00
720216.639,1,2017-05-04T00:00:00.000+02:00
717887.944,1,2017-05-05T00:00:00.000+02:00
645258.772,1,2017-05-06T00:00:00.000+02:00
591291.214,1,2017-05-07T00:00:00.000+02:00
701838.514,1,2017-05-08T00:00:00.000+02:00
719220.916,1,2017-05-09T00:00:00.000+02:00
722357.998,1,2017-05-10T00:00:00.000+02:00
720311.77,1,2017-05-11T00:00:00.000+02:00
713437.711,1,2017-05-12T00:00:00.000+02:00
641735.646,1,2017-05-13T00:00:00.000+02:00
588756.865,1,2017-05-14T00:00:00.000+02:00
689107.047,1,2017-05-15T00:00:00.000+02:00
727065.784,1,2017-05-16T00:00:00.000+02:00
726868.807,1,2017-05-17T00:00:00.000+02:00
725202.736,1,2017-05-18T00:00:00.000+02:00
710927.215,1,2017-05-19T00:00:00.000+02:00
642947.328,1,2017-05-20T00:00:00.000+02:00
595144.19,1,2017-05-21T00:00:00.000+02:00
707215.908,1,2017-05-22T00:00:00.000+02:00
735713.079,1,2017-05-23T00:00:00.000+02:00
744762.226,1,2017-05-24T00:00:00.000+02:00
753708.067,1,2017-05-25T00:00:00.000+02:00
751802.485,1,2017-05-26T00:00:00.000+02:00
676432.459,1,2017-05-27T00:00:00.000+02:00
614285.606,1,2017-05-28T00:00:00.000+02:00
720317.959,1,2017-05-29T00:00:00.000+02:00
730950.193,1,2017-05-30T00:00:00.000+02:00
736466.626,1,2017-05-31T00:00:00.000+02:00
747518.87,1,2017-06-01T00:00:00.000+02:00
753609.124,1,2017-06-02T00:00:00.000+02:00
679426.673,1,2017-06-03T00:00:00.000+02:00
611001.936,1,2017-06-04T00:00:00.000+02:00
703309.683,1,2017-06-05T00:00:00.000+02:00
740130.509,1,2017-06-06T00:00:00.000+02:00
749355.998,1,2017-06-07T00:00:00.000+02:00
761866.923,1,2017-06-08T00:00:00.000+02:00
759329.608,1,2017-06-09T00:00:00.000+02:00
694435.316,1,2017-06-10T00:00:00.000+02:00
650192.062,1,2017-06-11T00:00:00.000+02:00
788982.005,1,2017-06-12T00:00:00.000+02:00
817984.82,1,2017-06-13T00:00:00.000+02:00
833791.039,1,2017-06-14T00:00:00.000+02:00
840938.662,1,2017-06-15T00:00:00.000+02:00
843222.117,1,2017-06-16T00:00:00.000+02:00
775071.419,1,2017-06-17T00:00:00.000+02:00
714249.156,1,2017-06-18T00:00:00.000+02:00
838636.414,1,2017-06-19T00:00:00.000+02:00
851662.309,1,2017-06-20T00:00:00.000+02:00
854595.14,1,2017-06-21T00:00:00.000+02:00
855949.555,1,2017-06-22T00:00:00.000+02:00
835352.735,1,2017-06-23T00:00:00.000+02:00
748147.739,1,2017-06-24T00:00:00.000+02:00
690609.154,1,2017-06-25T00:00:00.000+02:00
805439.019,1,2017-06-26T00:00:00.000+02:00
810662.661,1,2017-06-27T00:00:00.000+02:00
785930.599,1,2017-06-28T00:00:00.000+02:00
749639.349,1,2017-06-29T00:00:00.000+02:00
732881.027,1,2017-06-30T00:00:00.000+02:00
665287.066,1,2017-07-01T00:00:00.000+02:00
