ccaa,month,type,value,datetime,percentage,geo_id,community_name
0,1,Hidráulica,57178.461,2014-01-01T00:00:00.000+01:00,0.021807240903962247,4,Andalucía
0,2,Hidráulica,137840.605,2014-02-01T00:00:00.000+01:00,0.06448184633342323,4,Andalucía
0,3,Hidráulica,118651.997,2014-03-01T00:00:00.000+01:00,0.04914988276680622,4,Andalucía
0,4,Hidráulica,81194.677,2014-04-01T00:00:00.000+02:00,0.03924506880933269,4,Andalucía
0,5,Hidráulica,80237.089,2014-05-01T00:00:00.000+02:00,0.02858955870880516,4,Andalucía
0,6,Hidráulica,93151.44,2014-06-01T00:00:00.000+02:00,0.032419583521310066,4,Andalucía
0,7,Hidráulica,107566.872,2014-07-01T00:00:00.000+02:00,0.03413678733880217,4,Andalucía
0,8,Hidráulica,97598.613,2014-08-01T00:00:00.000+02:00,0.029931453892683854,4,Andalucía
0,9,Hidráulica,50931.286,2014-09-01T00:00:00.000+02:00,0.01759799053312551,4,Andalucía
0,10,Hidráulica,27123.959,2014-10-01T00:00:00.000+02:00,0.00977808078930985,4,Andalucía
0,11,Hidráulica,28629.559,2014-11-01T00:00:00.000+01:00,0.012530329132056133,4,Andalucía
0,12,Hidráulica,53892.78,2014-12-01T00:00:00.000+01:00,0.02032426927186207,4,Andalucía
0,1,Turbinación bombeo,43873.917,2014-01-01T00:00:00.000+01:00,0.016733033045773033,4,Andalucía
0,2,Turbinación bombeo,40028.955,2014-02-01T00:00:00.000+01:00,0.01872554843471206,4,Andalucía
0,3,Turbinación bombeo,34163.261,2014-03-01T00:00:00.000+01:00,0.014151639378491059,4,Andalucía
0,4,Turbinación bombeo,36972.746,2014-04-01T00:00:00.000+02:00,0.017870604508223857,4,Andalucía
0,5,Turbinación bombeo,23861.612,2014-05-01T00:00:00.000+02:00,0.00850221469476204,4,Andalucía
0,6,Turbinación bombeo,18713.421,2014-06-01T00:00:00.000+02:00,0.0065128495606609806,4,Andalucía
0,7,Turbinación bombeo,10683.19,2014-07-01T00:00:00.000+02:00,0.0033903540964732894,4,Andalucía
0,8,Turbinación bombeo,13194.833,2014-08-01T00:00:00.000+02:00,0.004046579386954643,4,Andalucía
0,9,Turbinación bombeo,12728.404,2014-09-01T00:00:00.000+02:00,0.004397971280242106,4,Andalucía
0,10,Turbinación bombeo,27261.321,2014-10-01T00:00:00.000+02:00,0.009827599251322759,4,Andalucía
0,11,Turbinación bombeo,41822.749,2014-11-01T00:00:00.000+01:00,0.01830460644459705,4,Andalucía
0,12,Turbinación bombeo,37181.783,2014-12-01T00:00:00.000+01:00,0.01402214860135149,4,Andalucía
0,1,Carbón,683384.933,2014-01-01T00:00:00.000+01:00,0.2606355540781186,4,Andalucía
0,2,Carbón,370899.252,2014-02-01T00:00:00.000+01:00,0.17350670053026548,4,Andalucía
0,3,Carbón,439908.747,2014-03-01T00:00:00.000+01:00,0.18222586968462584,4,Andalucía
0,4,Carbón,418009.817,2014-04-01T00:00:00.000+02:00,0.20204309737129156,4,Andalucía
