value,percentage,datetime,Type
17098.461,0.1544474253071768,2021-01-01T00:00:00.000+01:00,Hidráulica
17093.961,0.1545067509408582,2021-02-01T00:00:00.000+01:00,Hidráulica
17093.961,0.15403843719241408,2021-03-01T00:00:00.000+01:00,Hidráulica
17093.961,0.15377556578589308,2021-04-01T00:00:00.000+02:00,Hidráulica
17093.961,0.15315853371702676,2021-05-01T00:00:00.000+02:00,Hidráulica
17093.961,0.1525700317143605,2021-06-01T00:00:00.000+02:00,Hidráulica
17093.961,0.1520635468019866,2021-07-01T00:00:00.000+02:00,Hidráulica
17093.961,0.1518810354557197,2021-08-01T00:00:00.000+02:00,Hidráulica
17094.125,0.15167744811791214,2021-09-01T00:00:00.000+02:00,Hidráulica
17094.125,0.15106381277096717,2021-10-01T00:00:00.000+02:00,Hidráulica
17094.125,0.1503656914551472,2021-11-01T00:00:00.000+01:00,Hidráulica
17094.125,0.15057163202750232,2021-12-01T00:00:00.000+01:00,Hidráulica
3331.4,0.03009195697018164,2021-01-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.03011144053062804,2021-02-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.030020172016468758,2021-03-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.029968941654840806,2021-04-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.02984868979313238,2021-05-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029733998085828127,2021-06-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.02963529048744982,2021-07-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029599721300240748,2021-08-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.02955976106761899,2021-09-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.02944017233202636,2021-10-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029304118491802148,2021-11-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.02934425335818132,2021-12-01T00:00:00.000+01:00,Turbinación bombeo
7117.29,0.06428924308828242,2021-01-01T00:00:00.000+01:00,Nuclear
7117.29,0.0643308682758701,2021-02-01T00:00:00.000+01:00,Nuclear
7117.29,0.0641358798376337,2021-03-01T00:00:00.000+01:00,Nuclear
7117.29,0.06402642995454821,2021-04-01T00:00:00.000+02:00,Nuclear
7117.29,0.06376952073535545,2021-05-01T00:00:00.000+02:00,Nuclear
7117.29,0.06352449037530278,2021-06-01T00:00:00.000+02:00,Nuclear
7117.29,0.06331360888317877,2021-07-01T00:00:00.000+02:00,Nuclear
7117.29,0.06323761794230368,2021-08-01T00:00:00.000+02:00,Nuclear
7117.29,0.06315224585728342,2021-09-01T00:00:00.000+02:00,Nuclear
7117.29,0.06289675335805003,2021-10-01T00:00:00.000+02:00,Nuclear
7117.29,0.06260608437909543,2021-11-01T00:00:00.000+01:00,Nuclear
7117.29,0.06269182955623771,2021-12-01T00:00:00.000+01:00,Nuclear
5385.525,0.048646510944899274,2021-01-01T00:00:00.000+01:00,Carbón
4883.715,0.04414231067750379,2021-02-01T00:00:00.000+01:00,Carbón
4883.715,0.04400851425208883,2021-03-01T00:00:00.000+01:00,Carbón
4883.715,0.04393341234732271,2021-04-01T00:00:00.000+02:00,Carbón
4883.715,0.04375712735578661,2021-05-01T00:00:00.000+02:00,Carbón
4883.715,0.043588993354664735,2021-06-01T00:00:00.000+02:00,Carbón
4883.715,0.043444291493941294,2021-07-01T00:00:00.000+02:00,Carbón
4883.715,0.043392148318966574,2021-08-01T00:00:00.000+02:00,Carbón
4883.715,0.04333356802615924,2021-09-01T00:00:00.000+02:00,Carbón
4883.715,0.043158255154140034,2021-10-01T00:00:00.000+02:00,Carbón
4883.715,0.04295880501896846,2021-11-01T00:00:00.000+01:00,Carbón
3764.125,0.03315586170134606,2021-12-01T00:00:00.000+01:00,Carbón
7.95,7.18109677351696e-05,2021-01-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.185746299408445e-05,2021-02-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.163966126281041e-05,2021-03-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.151740594224183e-05,2021-04-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.123043881113118e-05,2021-05-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.095674034409965e-05,2021-06-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.072118610050612e-05,2021-07-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.06363043576016e-05,2021-08-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.054094389372966e-05,2021-09-01T00:00:00.000+02:00,Fuel + Gas
