value,percentage,datetime,Type
17042.481,0.16134178233483448,2016-01-01T00:00:00.000+01:00,Hidráulica
17042.481,0.16201256515433954,2016-02-01T00:00:00.000+01:00,Hidráulica
17048.826,0.1627355870795617,2016-03-01T00:00:00.000+01:00,Hidráulica
17048.871,0.16286609468509716,2016-04-01T00:00:00.000+02:00,Hidráulica
17049.146,0.16295346258519128,2016-05-01T00:00:00.000+02:00,Hidráulica
17049.511,0.16299346455853064,2016-06-01T00:00:00.000+02:00,Hidráulica
17049.511,0.16300065449746953,2016-07-01T00:00:00.000+02:00,Hidráulica
17049.511,0.16300007790766755,2016-08-01T00:00:00.000+02:00,Hidráulica
17049.511,0.1630130911297903,2016-09-01T00:00:00.000+02:00,Hidráulica
17049.511,0.16301718721810304,2016-10-01T00:00:00.000+02:00,Hidráulica
17049.511,0.16306610992036494,2016-11-01T00:00:00.000+01:00,Hidráulica
17049.511,0.16306356312004303,2016-12-01T00:00:00.000+01:00,Hidráulica
3331.4,0.03153848396077236,2016-01-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.03166960606000774,2016-02-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.03179910070035625,2016-03-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.031824518341063916,2016-04-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.0318410766883166,2016-05-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.03184821123786418,2016-06-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.031849616120536835,2016-07-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.031849503457407294,2016-08-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.03185204618418577,2016-09-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.031852846541955866,2016-10-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.031862405824349085,2016-11-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.031861908190687196,2016-12-01T00:00:00.000+01:00,Turbinación bombeo
7572.58,0.07168988799653764,2016-01-01T00:00:00.000+01:00,Nuclear
7572.58,0.07198794064294092,2016-02-01T00:00:00.000+01:00,Nuclear
7572.58,0.07228229392492758,2016-03-01T00:00:00.000+01:00,Nuclear
7572.58,0.07234007057068313,2016-04-01T00:00:00.000+02:00,Nuclear
7572.58,0.0723777092238736,2016-05-01T00:00:00.000+02:00,Nuclear
7572.58,0.07239392671418189,2016-06-01T00:00:00.000+02:00,Nuclear
7572.58,0.07239712014229897,2016-07-01T00:00:00.000+02:00,Nuclear
7572.58,0.07239686404859619,2016-08-01T00:00:00.000+02:00,Nuclear
7572.58,0.07240264390149533,2016-09-01T00:00:00.000+02:00,Nuclear
7572.58,0.07240446318865466,2016-10-01T00:00:00.000+02:00,Nuclear
7572.58,0.07242619232075086,2016-11-01T00:00:00.000+01:00,Nuclear
7572.58,0.07242506115345922,2016-12-01T00:00:00.000+01:00,Nuclear
10962.415,0.10378157821001088,2016-01-01T00:00:00.000+01:00,Carbón
10516.895,0.09997776359022185,2016-02-01T00:00:00.000+01:00,Carbón
10082.115,0.09623647420230902,2016-03-01T00:00:00.000+01:00,Carbón
10082.115,0.0963133978910415,2016-04-01T00:00:00.000+02:00,Carbón
10030.285,0.09586812568009596,2016-05-01T00:00:00.000+02:00,Carbón
10030.285,0.09588960660862716,2016-06-01T00:00:00.000+02:00,Carbón
10030.285,0.09589383647402858,2016-07-01T00:00:00.000+02:00,Carbón
10030.285,0.09589349726429745,2016-08-01T00:00:00.000+02:00,Carbón
10030.285,0.09590115298689614,2016-09-01T00:00:00.000+02:00,Carbón
10030.285,0.09590356272950766,2016-10-01T00:00:00.000+02:00,Carbón
10030.285,0.09593234412075442,2016-11-01T00:00:00.000+01:00,Carbón
10030.285,0.09593084582950918,2016-12-01T00:00:00.000+01:00,Carbón
7.95,7.526293674975692e-05,2016-01-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.557584444289534e-05,2016-02-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.588486839401819e-05,2016-03-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.594552464773313e-05,2016-04-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.598503922438524e-05,2016-05-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.600206500000608e-05,2016-06-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.600541758968237e-05,2016-07-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.600514873218106e-05,2016-08-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.601121665494294e-05,2016-09-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.601312661600203e-05,2016-10-01T00:00:00.000+02:00,Fuel + Gas
7.95,7.603593873553919e-05,2016-11-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.603475119047943e-05,2016-12-01T00:00:00.000+01:00,Fuel + Gas
811.27,0.007680322351820792,2016-01-01T00:00:00.000+01:00,Motores diésel
811.27,0.007712253499520465,2016-02-01T00:00:00.000+01:00,Motores diésel
811.27,0.007743788324781778,2016-03-01T00:00:00.000+01:00,Motores diésel
811.27,0.007749978085656158,2016-04-01T00:00:00.000+02:00,Motores diésel
811.27,0.007754010411517863,2016-05-01T00:00:00.000+02:00,Motores diésel
811.27,0.007755747833025777,2016-06-01T00:00:00.000+02:00,Motores diésel
811.27,0.007756089953205234,2016-07-01T00:00:00.000+02:00,Motores diésel
811.27,0.007756062517227236,2016-08-01T00:00:00.000+02:00,Motores diésel
811.27,0.007756681727755416,2016-09-01T00:00:00.000+02:00,Motores diésel
811.27,0.007756876632674712,2016-10-01T00:00:00.000+02:00,Motores diésel
811.27,0.007759204530563632,2016-11-01T00:00:00.000+01:00,Motores diésel
811.27,0.0077590833456981445,2016-12-01T00:00:00.000+01:00,Motores diésel
1148.65,0.010874310980831232,2016-01-01T00:00:00.000+01:00,Turbina de gas
1148.65,0.010919521222557451,2016-02-01T00:00:00.000+01:00,Turbina de gas
1148.65,0.010964170324627548,2016-03-01T00:00:00.000+01:00,Turbina de gas
1148.65,0.010972934199574675,2016-04-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010978643434602529,2016-05-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010981103391478867,2016-06-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010981587787973415,2016-07-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010981548942291797,2016-08-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010982425661723298,2016-09-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.0109827016210655,2016-10-01T00:00:00.000+02:00,Turbina de gas
1148.65,0.010985997613657495,2016-11-01T00:00:00.000+01:00,Turbina de gas
1148.65,0.010985826032068454,2016-12-01T00:00:00.000+01:00,Turbina de gas
482.64,0.004569170288415431,2016-01-01T00:00:00.000+01:00,Turbina de vapor
482.64,0.0045881667373483025,2016-02-01T00:00:00.000+01:00,Turbina de vapor
482.64,0.0046069274065017535,2016-03-01T00:00:00.000+01:00,Turbina de vapor
482.64,0.004610609813331059,2016-04-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004613008720912867,2016-05-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004614042346113577,2016-06-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004614245879935131,2016-07-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004614229557748411,2016-08-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004614597937904611,2016-09-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004614713890559398,2016-10-01T00:00:00.000+02:00,Turbina de vapor
482.64,0.004616098801423979,2016-11-01T00:00:00.000+01:00,Turbina de vapor
482.64,0.0046160267062355965,2016-12-01T00:00:00.000+01:00,Turbina de vapor
26635.995,0.25216392540274735,2016-01-01T00:00:00.000+01:00,Ciclo combinado
26635.995,0.2532123037360677,2016-02-01T00:00:00.000+01:00,Ciclo combinado
26635.995,0.2542476698262549,2016-03-01T00:00:00.000+01:00,Ciclo combinado
26635.995,0.2544508949420624,2016-04-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.25458328614534953,2016-05-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.2546403299785958,2016-06-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.2546515626278857,2016-07-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.25465066183706053,2016-08-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.25467099204590904,2016-09-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.2546773912551191,2016-10-01T00:00:00.000+02:00,Ciclo combinado
26635.995,0.25475382188429285,2016-11-01T00:00:00.000+01:00,Ciclo combinado
26635.995,0.25474984308627097,2016-12-01T00:00:00.000+01:00,Ciclo combinado
11.32,0.00010716684830279854,2016-01-01T00:00:00.000+01:00,Hidroeólica
11.32,0.00010761239737026103,2016-02-01T00:00:00.000+01:00,Hidroeólica
11.32,0.00010805241637991018,2016-03-01T00:00:00.000+01:00,Hidroeólica
11.32,0.0001081387847814263,2016-04-01T00:00:00.000+02:00,Hidroeólica
11.32,0.00010819504956226929,2016-05-01T00:00:00.000+02:00,Hidroeólica
11.32,0.00010821929255346778,2016-06-01T00:00:00.000+02:00,Hidroeólica
11.32,0.0001082240663037993,2016-07-01T00:00:00.000+02:00,Hidroeólica
11.32,0.00010822368347777229,2016-08-01T00:00:00.000+02:00,Hidroeólica
11.32,0.00010823232358917662,2016-09-01T00:00:00.000+02:00,Hidroeólica
11.32,0.00010823504318152741,2016-10-01T00:00:00.000+02:00,Hidroeólica
