value,percentage,datetime,Type
40885.829,0.06748959339329084,2017-01-01T00:00:00.000+01:00,Hidráulica
57481.212,0.08098171687786028,2017-01-02T00:00:00.000+01:00,Hidráulica
73441.18,0.09420027293987919,2017-01-03T00:00:00.000+01:00,Hidráulica
64063.571,0.07972828447570948,2017-01-04T00:00:00.000+01:00,Hidráulica
55419.377,0.07057946350181568,2017-01-05T00:00:00.000+01:00,Hidráulica
54490.797,0.07658886795919922,2017-01-06T00:00:00.000+01:00,Hidráulica
55296.845,0.07919874444180004,2017-01-07T00:00:00.000+01:00,Hidráulica
38557.528,0.055920603501125134,2017-01-08T00:00:00.000+01:00,Hidráulica
76921.046,0.09256134901619426,2017-01-09T00:00:00.000+01:00,Hidráulica
66446.264,0.07559977378001596,2017-01-10T00:00:00.000+01:00,Hidráulica
74080.767,0.08673621741820747,2017-01-11T00:00:00.000+01:00,Hidráulica
65995.292,0.07856786330030867,2017-01-12T00:00:00.000+01:00,Hidráulica
46767.283,0.0534377526471655,2017-01-13T00:00:00.000+01:00,Hidráulica
51240.008,0.06368474415972365,2017-01-14T00:00:00.000+01:00,Hidráulica
35955.364,0.04468138968026976,2017-01-15T00:00:00.000+01:00,Hidráulica
52220.007,0.05811293014314045,2017-01-16T00:00:00.000+01:00,Hidráulica
62136.559,0.06587636358636907,2017-01-17T00:00:00.000+01:00,Hidráulica
79291.97,0.08424292412344728,2017-01-18T00:00:00.000+01:00,Hidráulica
110944.723,0.11994259117786217,2017-01-19T00:00:00.000+01:00,Hidráulica
104766.727,0.11423966484906196,2017-01-20T00:00:00.000+01:00,Hidráulica
87099.029,0.11633603110514477,2017-01-21T00:00:00.000+01:00,Hidráulica
63930.21,0.08571343185800528,2017-01-22T00:00:00.000+01:00,Hidráulica
87725.406,0.09961476375603685,2017-01-23T00:00:00.000+01:00,Hidráulica
94127.62,0.10191036408551325,2017-01-24T00:00:00.000+01:00,Hidráulica
101991.011,0.11031821988053545,2017-01-25T00:00:00.000+01:00,Hidráulica
92211.334,0.1033109008812931,2017-01-26T00:00:00.000+01:00,Hidráulica
68771.685,0.07882679286041383,2017-01-27T00:00:00.000+01:00,Hidráulica
34577.905,0.04532891972626091,2017-01-28T00:00:00.000+01:00,Hidráulica
31585.541,0.046215341889258785,2017-01-29T00:00:00.000+01:00,Hidráulica
48625.717,0.06414222009332256,2017-01-30T00:00:00.000+01:00,Hidráulica
63593.367,0.07803590150310453,2017-01-31T00:00:00.000+01:00,Hidráulica
44738.333,0.05734626539546154,2017-02-01T00:00:00.000+01:00,Hidráulica
34245.849,0.042751805778960816,2017-02-02T00:00:00.000+01:00,Hidráulica
48343.63,0.06197336529896738,2017-02-03T00:00:00.000+01:00,Hidráulica
51900.308,0.07094378823758643,2017-02-04T00:00:00.000+01:00,Hidráulica
69796.755,0.09209611325935504,2017-02-05T00:00:00.000+01:00,Hidráulica
70562.194,0.08428561732067946,2017-02-06T00:00:00.000+01:00,Hidráulica
