Fecha;Día semana;Comercializadora;Energía final (MWh);Mercado diario (€/MWh);Mercado intradiario (€/MWh);Restricciones (€/MWh);Procesos OS (€/MWh);Garantía potencia Pagos capacidad (€/MWh);Coste s.interrrumpibilidad (€/MWh);Total (€/MWh)
2020-01-01;Miércoles;Todas las u.adquisición;599798,164;35,85;-0,08;2,74;0,25;2,18;0,03;40,97
2020-01-01;Miércoles;Todas las u.adquisición sin garantía de potencia/pagos capacidad;599798,164;35,85;-0,08;2,74;0,25;;0,03;38,8
2020-01-01;Miércoles;Demanda agregada;539640,744;36,09;-0,09;3,13;0,29;2,42;0,03;41,87
2020-01-01;Miércoles;Comercializadores de último recurso;93944,529;36,47;0,0;2,99;0,33;4,12;0,03;43,94
2020-01-01;Miércoles;Comercializadores libres;431536,828;36,02;-0,11;3,15;0,29;2,13;0,03;41,51
2020-01-01;Miércoles;Comercializadores libres+consumidor directo en mercado;445696,215;36,01;-0,1;3,16;0,29;2,06;0,03;41,44
2020-01-01;Miércoles;Comercializadores libres+consumidor directo en mercado+exportación;446497,275;36,01;-0,1;3,15;0,28;2,06;0,03;41,43
2020-01-02;Jueves;Todas las u.adquisición;727706,469;40,97;0,01;1,79;0,32;3,35;0,03;46,47
2020-01-02;Jueves;Todas las u.adquisición sin garantía de potencia/pagos capacidad;727706,469;40,97;0,01;1,79;0,32;;0,03;43,12
2020-01-02;Jueves;Demanda agregada;683270,834;41,17;0,01;1,92;0,34;3,57;0,03;47,03
2020-01-02;Jueves;Comercializadores de último recurso;94727,753;40,97;0,01;1,88;0,38;4,13;0,03;47,4
2020-01-02;Jueves;Comercializadores libres;573128,281;41,22;0,0;1,92;0,33;3,49;0,03;47,0
2020-01-02;Jueves;Comercializadores libres+consumidor directo en mercado;588543,081;41,2;0,0;1,93;0,34;3,48;0,03;46,98
2020-01-02;Jueves;Comercializadores libres+consumidor directo en mercado+exportación;589164,783;41,2;0,0;1,93;0,34;3,47;0,03;46,97
2020-01-03;Viernes;Todas las u.adquisición;749696,502;40,12;0,01;1,39;0,44;3,3;0,03;45,28
2020-01-03;Viernes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;749696,502;40,12;0,01;1,39;0,44;;0,03;41,97
2020-01-03;Viernes;Demanda agregada;713820,589;40,45;0,02;1,46;0,44;3,47;0,03;45,86
2020-01-03;Viernes;Comercializadores de último recurso;95379,785;40,62;0,02;1,42;0,66;4,13;0,03;46,88
2020-01-03;Viernes;Comercializadores libres;602524,257;40,45;0,02;1,46;0,39;3,38;0,03;45,73
2020-01-03;Viernes;Comercializadores libres+consumidor directo en mercado;618440,804;40,42;0,02;1,46;0,4;3,37;0,03;45,7
2020-01-03;Viernes;Comercializadores libres+consumidor directo en mercado+exportación;618675,815;40,42;0,02;1,46;0,4;3,37;0,03;45,7
2020-01-04;Sábado;Todas las u.adquisición;719698,311;35,86;0,0;1,97;0,23;2,02;0,03;40,11
2020-01-04;Sábado;Todas las u.adquisición sin garantía de potencia/pagos capacidad;719698,311;35,86;0,0;1,97;0,23;;0,03;38,09
2020-01-04;Sábado;Demanda agregada;663417,38;36,14;0,0;2,15;0,24;2,19;0,03;40,75
2020-01-04;Sábado;Comercializadores de último recurso;96000,319;36,58;0,0;2,11;0,25;4,12;0,03;43,09
2020-01-04;Sábado;Comercializadores libres;551502,789;36,08;0,0;2,15;0,24;1,92;0,03;40,41
2020-01-04;Sábado;Comercializadores libres+consumidor directo en mercado;567417,061;36,07;0,0;2,15;0,24;1,87;0,03;40,35
2020-01-04;Sábado;Comercializadores libres+consumidor directo en mercado+exportación;568270,498;36,07;0,0;2,15;0,24;1,86;0,03;40,35
2020-01-05;Domingo;Todas las u.adquisición;665608,601;38,4;0,0;2,64;0,29;2,05;0,03;43,41
2020-01-05;Domingo;Todas las u.adquisición sin garantía de potencia/pagos capacidad;665608,601;38,4;0,0;2,64;0,29;;0,03;41,36
2020-01-05;Domingo;Demanda agregada;614629,654;38,81;0,0;2,89;0,29;2,22;0,03;44,24
2020-01-05;Domingo;Comercializadores de último recurso;94521,87;39,46;0,0;2,86;0,23;4,11;0,03;46,69
2020-01-05;Domingo;Comercializadores libres;504918,732;38,71;0,0;2,89;0,3;1,93;0,03;43,87
2020-01-05;Domingo;Comercializadores libres+consumidor directo en mercado;520107,784;38,7;0,0;2,89;0,3;1,88;0,03;43,8
2020-01-05;Domingo;Comercializadores libres+consumidor directo en mercado+exportación;520946,843;38,7;0,0;2,89;0,3;1,87;0,03;43,79
2020-01-06;Lunes;Todas las u.adquisición;651192,871;42,47;-0,03;2,2;0,06;3,08;0,03;47,81
2020-01-06;Lunes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;651192,871;42,47;-0,03;2,2;0,06;;0,03;44,73
2020-01-06;Lunes;Demanda agregada;593525,54;42,69;-0,03;2,5;0,09;3,38;0,03;48,65
2020-01-06;Lunes;Comercializadores de último recurso;95425,713;43,17;-0,01;2,42;-0,03;4,12;0,03;49,7
2020-01-06;Lunes;Comercializadores libres;483148,867;42,61;-0,04;2,51;0,11;3,26;0,03;48,47
2020-01-06;Lunes;Comercializadores libres+consumidor directo en mercado;498099,827;42,6;-0,04;2,51;0,11;3,24;0,03;48,45
2020-01-06;Lunes;Comercializadores libres+consumidor directo en mercado+exportación;498685,704;42,6;-0,04;2,51;0,11;3,24;0,03;48,44
2020-01-07;Martes;Todas las u.adquisición;801748,904;47,98;-0,01;1,54;0,09;3,28;0,03;52,9
